λ,Φ,ΔΦ,species
472.0,0.855,NaN,NO2
477.0,0.867,NaN,NO2
482.0,0.921,NaN,NO2
487.0,0.869,NaN,NO2
492.0,0.935,NaN,NO2
497.0,0.885,NaN,NO2
502.0,0.898,NaN,NO2
507.0,0.905,NaN,NO2
512.0,0.852,NaN,NO2
517.0,0.906,NaN,NO2
522.0,0.845,NaN,NO2
527.0,0.938,NaN,NO2
532.0,0.958,NaN,NO2
537.0,0.877,NaN,NO2
542.0,0.91,NaN,NO2
547.0,0.821,NaN,NO2
552.0,1.004,NaN,NO2
557.0,1.054,NaN,NO2
562.0,1.103,NaN,NO2
567.0,1.086,NaN,NO2
572.0,1.133,NaN,NO2
577.0,1.119,NaN,NO2
582.0,1.177,NaN,NO2
587.0,1.083,NaN,NO2
592.0,0.909,NaN,NO2
597.0,0.713,NaN,NO2
602.0,0.648,NaN,NO2
607.0,0.674,NaN,NO2
612.0,0.414,NaN,NO2
617.0,0.35,NaN,NO2
622.0,0.179,NaN,NO2
627.0,0.113,NaN,NO2
632.0,0.057,NaN,NO2
472.0,0.855,NaN,O
477.0,0.867,NaN,O
482.0,0.921,NaN,O
487.0,0.869,NaN,O
492.0,0.935,NaN,O
497.0,0.885,NaN,O
502.0,0.898,NaN,O
507.0,0.905,NaN,O
512.0,0.852,NaN,O
517.0,0.906,NaN,O
522.0,0.845,NaN,O
527.0,0.938,NaN,O
532.0,0.958,NaN,O
537.0,0.877,NaN,O
542.0,0.91,NaN,O
547.0,0.821,NaN,O
552.0,1.004,NaN,O
557.0,1.054,NaN,O
562.0,1.103,NaN,O
567.0,1.086,NaN,O
572.0,1.133,NaN,O
577.0,1.119,NaN,O
582.0,1.177,NaN,O
587.0,1.083,NaN,O
592.0,0.909,NaN,O
597.0,0.713,NaN,O
602.0,0.648,NaN,O
607.0,0.674,NaN,O
612.0,0.414,NaN,O
617.0,0.35,NaN,O
622.0,0.179,NaN,O
627.0,0.113,NaN,O
632.0,0.057,NaN,O
