λ,Φ,ΔΦ,species
585.0,0.996,NaN,NO2
586.0,0.97,NaN,NO2
587.0,0.93,NaN,NO2
588.0,0.836,NaN,NO2
589.0,0.788,NaN,NO2
590.0,0.696,NaN,NO2
591.0,0.653,NaN,NO2
592.0,0.614,NaN,NO2
593.0,0.542,NaN,NO2
594.0,0.51,NaN,NO2
595.0,0.453,NaN,NO2
596.0,0.429,NaN,NO2
597.0,0.406,NaN,NO2
598.0,0.367,NaN,NO2
599.0,0.345,NaN,NO2
600.0,0.307,NaN,NO2
601.0,0.275,NaN,NO2
602.0,0.254,NaN,NO2
603.0,0.215,NaN,NO2
604.0,0.198,NaN,NO2
605.0,0.176,NaN,NO2
606.0,0.155,NaN,NO2
607.0,0.143,NaN,NO2
608.0,0.128,NaN,NO2
609.0,0.113,NaN,NO2
610.0,0.105,NaN,NO2
611.0,0.0947,NaN,NO2
612.0,0.084,NaN,NO2
613.0,0.0773,NaN,NO2
614.0,0.0684,NaN,NO2
615.0,0.0583,NaN,NO2
616.0,0.0527,NaN,NO2
617.0,0.0465,NaN,NO2
618.0,0.0386,NaN,NO2
619.0,0.0346,NaN,NO2
620.0,0.0303,NaN,NO2
621.0,0.0248,NaN,NO2
622.0,0.0221,NaN,NO2
623.0,0.0197,NaN,NO2
624.0,0.0162,NaN,NO2
625.0,0.0138,NaN,NO2
626.0,0.0122,NaN,NO2
627.0,0.0105,NaN,NO2
628.0,0.00867,NaN,NO2
629.0,0.00723,NaN,NO2
630.0,0.00629,NaN,NO2
631.0,0.00545,NaN,NO2
632.0,0.00429,NaN,NO2
633.0,0.0038,NaN,NO2
634.0,0.00336,NaN,NO2
635.0,0.00297,NaN,NO2
636.0,0.0023,NaN,NO2
637.0,0.00202,NaN,NO2
638.0,0.00177,NaN,NO2
639.0,0.00154,NaN,NO2
640.0,0.00124,NaN,NO2
585.0,0.996,NaN,O
586.0,0.97,NaN,O
587.0,0.93,NaN,O
588.0,0.836,NaN,O
589.0,0.788,NaN,O
590.0,0.696,NaN,O
591.0,0.653,NaN,O
592.0,0.614,NaN,O
593.0,0.542,NaN,O
594.0,0.51,NaN,O
595.0,0.453,NaN,O
596.0,0.429,NaN,O
597.0,0.406,NaN,O
598.0,0.367,NaN,O
599.0,0.345,NaN,O
600.0,0.307,NaN,O
601.0,0.275,NaN,O
602.0,0.254,NaN,O
603.0,0.215,NaN,O
604.0,0.198,NaN,O
605.0,0.176,NaN,O
606.0,0.155,NaN,O
607.0,0.143,NaN,O
608.0,0.128,NaN,O
609.0,0.113,NaN,O
610.0,0.105,NaN,O
611.0,0.0947,NaN,O
612.0,0.084,NaN,O
613.0,0.0773,NaN,O
614.0,0.0684,NaN,O
615.0,0.0583,NaN,O
616.0,0.0527,NaN,O
617.0,0.0465,NaN,O
618.0,0.0386,NaN,O
619.0,0.0346,NaN,O
620.0,0.0303,NaN,O
621.0,0.0248,NaN,O
622.0,0.0221,NaN,O
623.0,0.0197,NaN,O
624.0,0.0162,NaN,O
625.0,0.0138,NaN,O
626.0,0.0122,NaN,O
627.0,0.0105,NaN,O
628.0,0.00867,NaN,O
629.0,0.00723,NaN,O
630.0,0.00629,NaN,O
631.0,0.00545,NaN,O
632.0,0.00429,NaN,O
633.0,0.0038,NaN,O
634.0,0.00336,NaN,O
635.0,0.00297,NaN,O
636.0,0.0023,NaN,O
637.0,0.00202,NaN,O
638.0,0.00177,NaN,O
639.0,0.00154,NaN,O
640.0,0.00124,NaN,O
