λ,Φ,ΔΦ,species
580.0,1.0,NaN,NO2
581.0,1.0,NaN,NO2
582.0,1.0,NaN,NO2
583.0,1.0,NaN,NO2
584.0,1.0,NaN,NO2
585.0,0.968,NaN,NO2
586.0,0.936,NaN,NO2
587.0,0.905,NaN,NO2
588.0,0.873,NaN,NO2
589.0,0.841,NaN,NO2
590.0,0.809,NaN,NO2
591.0,0.777,NaN,NO2
592.0,0.745,NaN,NO2
593.0,0.714,NaN,NO2
594.0,0.682,NaN,NO2
595.0,0.65,NaN,NO2
596.0,0.636,NaN,NO2
597.0,0.621,NaN,NO2
598.0,0.607,NaN,NO2
599.0,0.592,NaN,NO2
600.0,0.578,NaN,NO2
601.0,0.563,NaN,NO2
602.0,0.549,NaN,NO2
603.0,0.534,NaN,NO2
604.0,0.52,NaN,NO2
605.0,0.506,NaN,NO2
606.0,0.491,NaN,NO2
607.0,0.477,NaN,NO2
608.0,0.462,NaN,NO2
609.0,0.448,NaN,NO2
610.0,0.433,NaN,NO2
611.0,0.419,NaN,NO2
612.0,0.404,NaN,NO2
613.0,0.39,NaN,NO2
614.0,0.376,NaN,NO2
615.0,0.361,NaN,NO2
616.0,0.347,NaN,NO2
617.0,0.332,NaN,NO2
618.0,0.318,NaN,NO2
619.0,0.303,NaN,NO2
620.0,0.289,NaN,NO2
621.0,0.274,NaN,NO2
622.0,0.26,NaN,NO2
623.0,0.246,NaN,NO2
624.0,0.231,NaN,NO2
625.0,0.217,NaN,NO2
626.0,0.202,NaN,NO2
627.0,0.188,NaN,NO2
628.0,0.173,NaN,NO2
629.0,0.159,NaN,NO2
630.0,0.144,NaN,NO2
631.0,0.13,NaN,NO2
632.0,0.116,NaN,NO2
633.0,0.101,NaN,NO2
634.0,0.087,NaN,NO2
635.0,0.072,NaN,NO2
636.0,0.058,NaN,NO2
637.0,0.043,NaN,NO2
638.0,0.029,NaN,NO2
639.0,0.014,NaN,NO2
580.0,1.0,NaN,O
581.0,1.0,NaN,O
582.0,1.0,NaN,O
583.0,1.0,NaN,O
584.0,1.0,NaN,O
585.0,0.968,NaN,O
586.0,0.936,NaN,O
587.0,0.905,NaN,O
588.0,0.873,NaN,O
589.0,0.841,NaN,O
590.0,0.809,NaN,O
591.0,0.777,NaN,O
592.0,0.745,NaN,O
593.0,0.714,NaN,O
594.0,0.682,NaN,O
595.0,0.65,NaN,O
596.0,0.636,NaN,O
597.0,0.621,NaN,O
598.0,0.607,NaN,O
599.0,0.592,NaN,O
600.0,0.578,NaN,O
601.0,0.563,NaN,O
602.0,0.549,NaN,O
603.0,0.534,NaN,O
604.0,0.52,NaN,O
605.0,0.506,NaN,O
606.0,0.491,NaN,O
607.0,0.477,NaN,O
608.0,0.462,NaN,O
609.0,0.448,NaN,O
610.0,0.433,NaN,O
611.0,0.419,NaN,O
612.0,0.404,NaN,O
613.0,0.39,NaN,O
614.0,0.376,NaN,O
615.0,0.361,NaN,O
616.0,0.347,NaN,O
617.0,0.332,NaN,O
618.0,0.318,NaN,O
619.0,0.303,NaN,O
620.0,0.289,NaN,O
621.0,0.274,NaN,O
622.0,0.26,NaN,O
623.0,0.246,NaN,O
624.0,0.231,NaN,O
625.0,0.217,NaN,O
626.0,0.202,NaN,O
627.0,0.188,NaN,O
628.0,0.173,NaN,O
629.0,0.159,NaN,O
630.0,0.144,NaN,O
631.0,0.13,NaN,O
632.0,0.116,NaN,O
633.0,0.101,NaN,O
634.0,0.087,NaN,O
635.0,0.072,NaN,O
636.0,0.058,NaN,O
637.0,0.043,NaN,O
638.0,0.029,NaN,O
639.0,0.014,NaN,O
