λ,Φ,ΔΦ,species
180.0,0.25,0.05,O
181.0,0.25,0.05,O
182.0,0.25,0.05,O
183.0,0.25,0.05,O
184.0,0.25,0.05,O
185.0,0.25,0.05,O
186.0,0.25,0.05,O
187.0,0.25,0.05,O
188.0,0.25,0.05,O
189.0,0.25,0.05,O
190.0,0.25,0.05,O
191.0,0.25,0.05,O
192.0,0.25,0.05,O
193.0,0.25,0.05,O
194.0,0.25,0.05,O
195.0,0.25,0.05,O
196.0,0.25,0.05,O
197.0,0.25,0.05,O
198.0,0.25,0.05,O
199.0,0.25,0.05,O
200.0,0.25,0.05,O
201.0,0.25,0.05,O
202.0,0.25,0.05,O
203.0,0.25,0.05,O
204.0,0.25,0.05,O
205.0,0.25,0.05,O
206.0,0.25,0.05,O
207.0,0.25,0.05,O
208.0,0.25,0.05,O
209.0,0.25,0.05,O
210.0,0.25,0.05,O
211.0,0.25,0.05,O
212.0,0.25,0.05,O
213.0,0.25,0.05,O
214.0,0.25,0.05,O
215.0,0.25,0.05,O
216.0,0.25,0.05,O
217.0,0.25,0.05,O
218.0,0.25,0.05,O
219.0,0.25,0.05,O
220.0,0.25,0.05,O
221.0,0.25,0.05,O
222.0,0.25,0.05,O
223.0,0.25,0.05,O
224.0,0.25,0.05,O
225.0,0.25,0.05,O
226.0,0.25,0.05,O
227.0,0.25,0.05,O
228.0,0.25,0.05,O
229.0,0.25,0.05,O
230.0,0.25,0.05,O
231.0,0.25,0.05,O
232.0,0.25,0.05,O
233.0,0.25,0.05,O
234.0,0.25,0.05,O
235.0,0.25,0.05,O
236.0,0.25,0.05,O
237.0,0.25,0.05,O
238.0,0.25,0.05,O
239.0,0.25,0.05,O
240.0,0.25,0.05,O
241.0,0.25,0.05,O
242.0,0.25,0.05,O
243.0,0.25,0.05,O
244.0,0.25,0.05,O
245.0,0.25,0.05,O
246.0,0.25,0.05,O
247.0,0.25,0.05,O
248.0,0.25,0.05,O
249.0,0.25,0.05,O
250.0,0.25,0.05,O
251.0,0.25,0.05,O
252.0,0.25,0.05,O
253.0,0.25,0.05,O
254.0,0.25,0.05,O
255.0,0.25,0.05,O
256.0,0.25,0.05,O
257.0,0.25,0.05,O
258.0,0.25,0.05,O
259.0,0.25,0.05,O
260.0,0.25,0.05,O
261.0,0.25,0.05,O
262.0,0.25,0.05,O
263.0,0.25,0.05,O
264.0,0.25,0.05,O
265.0,0.25,0.05,O
266.0,0.25,0.05,O
267.0,0.25,0.05,O
268.0,0.25,0.05,O
269.0,0.25,0.05,O
270.0,0.25,0.05,O
271.0,0.25,0.05,O
272.0,0.25,0.05,O
273.0,0.25,0.05,O
274.0,0.25,0.05,O
275.0,0.25,0.05,O
276.0,0.25,0.05,O
277.0,0.25,0.05,O
278.0,0.25,0.05,O
279.0,0.25,0.05,O
280.0,0.25,0.05,O
281.0,0.25,0.05,O
282.0,0.25,0.05,O
283.0,0.25,0.05,O
284.0,0.25,0.05,O
285.0,0.25,0.05,O
286.0,0.25,0.05,O
287.0,0.25,0.05,O
288.0,0.25,0.05,O
289.0,0.25,0.05,O
290.0,0.25,0.05,O
291.0,0.25,0.05,O
292.0,0.25,0.05,O
293.0,0.25,0.05,O
294.0,0.25,0.05,O
295.0,0.25,0.05,O
296.0,0.25,0.05,O
297.0,0.25,0.05,O
298.0,0.25,0.05,O
299.0,0.25,0.05,O
300.0,0.25,0.05,O
301.0,0.25,0.05,O
302.0,0.25,0.05,O
303.0,0.25,0.05,O
304.0,0.25,0.05,O
305.0,0.25,0.05,O
306.0,0.25,0.05,O
307.0,0.25,0.05,O
308.0,0.25,0.05,O
309.0,0.25,0.05,O
310.0,0.25,0.05,O
311.0,0.25,0.05,O
312.0,0.25,0.05,O
313.0,0.25,0.05,O
314.0,0.25,0.05,O
315.0,0.25,0.05,O
316.0,0.25,0.05,O
317.0,0.25,0.05,O
318.0,0.25,0.05,O
319.0,0.25,0.05,O
320.0,0.25,0.05,O
321.0,0.25,0.05,O
322.0,0.25,0.05,O
323.0,0.25,0.05,O
324.0,0.25,0.05,O
325.0,0.25,0.05,O
326.0,0.25,0.05,O
327.0,0.25,0.05,O
328.0,0.25,0.05,O
329.0,0.25,0.05,O
330.0,0.25,0.05,O
331.0,0.25,0.05,O
332.0,0.25,0.05,O
333.0,0.25,0.05,O
334.0,0.25,0.05,O
335.0,0.25,0.05,O
336.0,0.25,0.05,O
337.0,0.25,0.05,O
338.0,0.25,0.05,O
339.0,0.25,0.05,O
340.0,0.25,0.05,O
341.0,0.25,0.05,O
342.0,0.25,0.05,O
343.0,0.25,0.05,O
344.0,0.25,0.05,O
345.0,0.25,0.05,O
346.0,0.25,0.05,O
347.0,0.25,0.05,O
348.0,0.25,0.05,O
349.0,0.25,0.05,O
350.0,0.25,0.05,O
351.0,0.25,0.05,O
352.0,0.25,0.05,O
353.0,0.25,0.05,O
354.0,0.25,0.05,O
355.0,0.25,0.05,O
356.0,0.25,0.05,O
357.0,0.25,0.05,O
358.0,0.25,0.05,O
359.0,0.25,0.05,O
360.0,0.25,0.05,O
361.0,0.25,0.05,O
362.0,0.25,0.05,O
363.0,0.25,0.05,O
364.0,0.25,0.05,O
365.0,0.25,0.05,O
366.0,0.25,0.05,O
367.0,0.25,0.05,O
368.0,0.25,0.05,O
369.0,0.25,0.05,O
370.0,0.25,0.05,O
371.0,0.25,0.05,O
372.0,0.25,0.05,O
373.0,0.25,0.05,O
374.0,0.25,0.05,O
375.0,0.25,0.05,O
376.0,0.25,0.05,O
377.0,0.25,0.05,O
378.0,0.25,0.05,O
379.0,0.25,0.05,O
380.0,0.25,0.05,O
381.0,0.25,0.05,O
382.0,0.25,0.05,O
383.0,0.25,0.05,O
384.0,0.25,0.05,O
385.0,0.25,0.05,O
386.0,0.25,0.05,O
387.0,0.25,0.05,O
388.0,0.25,0.05,O
389.0,0.25,0.05,O
390.0,0.25,0.05,O
391.0,0.25,0.05,O
392.0,0.25,0.05,O
393.0,0.25,0.05,O
394.0,0.25,0.05,O
395.0,0.25,0.05,O
396.0,0.25,0.05,O
397.0,0.25,0.05,O
398.0,0.25,0.05,O
399.0,0.25,0.05,O
400.0,0.25,0.05,O
180.0,0.25,0.05,Cl₂
181.0,0.25,0.05,Cl₂
182.0,0.25,0.05,Cl₂
183.0,0.25,0.05,Cl₂
184.0,0.25,0.05,Cl₂
185.0,0.25,0.05,Cl₂
186.0,0.25,0.05,Cl₂
187.0,0.25,0.05,Cl₂
188.0,0.25,0.05,Cl₂
189.0,0.25,0.05,Cl₂
190.0,0.25,0.05,Cl₂
191.0,0.25,0.05,Cl₂
192.0,0.25,0.05,Cl₂
193.0,0.25,0.05,Cl₂
194.0,0.25,0.05,Cl₂
195.0,0.25,0.05,Cl₂
196.0,0.25,0.05,Cl₂
197.0,0.25,0.05,Cl₂
198.0,0.25,0.05,Cl₂
199.0,0.25,0.05,Cl₂
200.0,0.25,0.05,Cl₂
201.0,0.25,0.05,Cl₂
202.0,0.25,0.05,Cl₂
203.0,0.25,0.05,Cl₂
204.0,0.25,0.05,Cl₂
