λ,Φ,ΔΦ,species
280.0,1.0,NaN,H
285.0,0.9,NaN,H
290.0,0.81,NaN,H
295.0,0.74,NaN,H
300.0,0.66,NaN,H
305.0,0.59,NaN,H
310.0,0.52,NaN,H
315.0,0.46,NaN,H
320.0,0.4,NaN,H
325.0,0.34,NaN,H
330.0,0.29,NaN,H
335.0,0.24,NaN,H
340.0,0.08,NaN,H
345.0,0.13,NaN,H
348.5,0.09,NaN,H
355.0,0.01,NaN,H
280.0,1.0,NaN,HCO
285.0,0.9,NaN,HCO
290.0,0.81,NaN,HCO
295.0,0.74,NaN,HCO
300.0,0.66,NaN,HCO
305.0,0.59,NaN,HCO
310.0,0.52,NaN,HCO
315.0,0.46,NaN,HCO
320.0,0.4,NaN,HCO
325.0,0.34,NaN,HCO
330.0,0.29,NaN,HCO
335.0,0.24,NaN,HCO
340.0,0.08,NaN,HCO
345.0,0.13,NaN,HCO
348.5,0.09,NaN,HCO
355.0,0.01,NaN,HCO
