λ,Φ,ΔΦ,species
295.0,0.88,NaN,O(1D)
297.5,0.91,NaN,O(1D)
300.0,0.86,NaN,O(1D)
301.0,0.87,NaN,O(1D)
302.0,0.9,NaN,O(1D)
303.0,0.89,NaN,O(1D)
304.0,0.94,NaN,O(1D)
305.0,0.94,NaN,O(1D)
306.0,0.84,NaN,O(1D)
307.0,0.8,NaN,O(1D)
308.0,0.79,NaN,O(1D)
309.0,0.7,NaN,O(1D)
310.0,0.62,NaN,O(1D)
311.0,0.44,NaN,O(1D)
312.0,0.35,NaN,O(1D)
313.0,0.34,NaN,O(1D)
314.0,0.27,NaN,O(1D)
315.0,0.22,NaN,O(1D)
316.0,0.28,NaN,O(1D)
317.0,0.26,NaN,O(1D)
318.0,0.24,NaN,O(1D)
319.0,0.27,NaN,O(1D)
320.0,0.19,NaN,O(1D)
321.0,0.17,NaN,O(1D)
322.0,0.15,NaN,O(1D)
323.0,0.13,NaN,O(1D)
324.0,0.13,NaN,O(1D)
325.0,0.11,NaN,O(1D)
326.0,0.1,NaN,O(1D)
327.0,0.1,NaN,O(1D)
328.0,0.12,NaN,O(1D)
329.0,0.08,NaN,O(1D)
330.0,0.12,NaN,O(1D)
331.0,0.15,NaN,O(1D)
334.0,0.13,NaN,O(1D)
335.0,0.13,NaN,O(1D)
337.0,0.11,NaN,O(1D)
338.0,0.11,NaN,O(1D)
295.0,0.88,NaN,O2
297.5,0.91,NaN,O2
300.0,0.86,NaN,O2
301.0,0.87,NaN,O2
302.0,0.9,NaN,O2
303.0,0.89,NaN,O2
304.0,0.94,NaN,O2
305.0,0.94,NaN,O2
306.0,0.84,NaN,O2
307.0,0.8,NaN,O2
308.0,0.79,NaN,O2
309.0,0.7,NaN,O2
310.0,0.62,NaN,O2
311.0,0.44,NaN,O2
312.0,0.35,NaN,O2
313.0,0.34,NaN,O2
314.0,0.27,NaN,O2
315.0,0.22,NaN,O2
316.0,0.28,NaN,O2
317.0,0.26,NaN,O2
318.0,0.24,NaN,O2
319.0,0.27,NaN,O2
320.0,0.19,NaN,O2
321.0,0.17,NaN,O2
322.0,0.15,NaN,O2
323.0,0.13,NaN,O2
324.0,0.13,NaN,O2
325.0,0.11,NaN,O2
326.0,0.1,NaN,O2
327.0,0.1,NaN,O2
328.0,0.12,NaN,O2
329.0,0.08,NaN,O2
330.0,0.12,NaN,O2
331.0,0.15,NaN,O2
334.0,0.13,NaN,O2
335.0,0.13,NaN,O2
337.0,0.11,NaN,O2
338.0,0.11,NaN,O2
