λ,Φ,ΔΦ,species
220.0,0.9,NaN,O(1D)
250.0,0.9,NaN,O(1D)
280.0,0.9,NaN,O(1D)
290.0,0.9,NaN,O(1D)
300.0,0.9,NaN,O(1D)
306.0,0.872,NaN,O(1D)
307.0,0.838,NaN,O(1D)
308.0,0.748,NaN,O(1D)
309.0,0.595,NaN,O(1D)
310.0,0.411,NaN,O(1D)
311.0,0.259,NaN,O(1D)
312.0,0.169,NaN,O(1D)
313.0,0.126,NaN,O(1D)
314.0,0.108,NaN,O(1D)
315.0,0.102,NaN,O(1D)
316.0,0.1,NaN,O(1D)
317.0,0.098,NaN,O(1D)
318.0,0.096,NaN,O(1D)
319.0,0.093,NaN,O(1D)
320.0,0.09,NaN,O(1D)
321.0,0.087,NaN,O(1D)
322.0,0.084,NaN,O(1D)
323.0,0.082,NaN,O(1D)
324.0,0.08,NaN,O(1D)
325.0,0.079,NaN,O(1D)
326.0,0.078,NaN,O(1D)
327.0,0.077,NaN,O(1D)
328.0,0.077,NaN,O(1D)
330.0,0.08,NaN,O(1D)
335.0,0.08,NaN,O(1D)
340.0,0.08,NaN,O(1D)
220.0,0.9,NaN,O2
250.0,0.9,NaN,O2
280.0,0.9,NaN,O2
290.0,0.9,NaN,O2
300.0,0.9,NaN,O2
306.0,0.872,NaN,O2
307.0,0.838,NaN,O2
308.0,0.748,NaN,O2
309.0,0.595,NaN,O2
310.0,0.411,NaN,O2
311.0,0.259,NaN,O2
312.0,0.169,NaN,O2
313.0,0.126,NaN,O2
314.0,0.108,NaN,O2
315.0,0.102,NaN,O2
316.0,0.1,NaN,O2
317.0,0.098,NaN,O2
318.0,0.096,NaN,O2
319.0,0.093,NaN,O2
320.0,0.09,NaN,O2
321.0,0.087,NaN,O2
322.0,0.084,NaN,O2
323.0,0.082,NaN,O2
324.0,0.08,NaN,O2
325.0,0.079,NaN,O2
326.0,0.078,NaN,O2
327.0,0.077,NaN,O2
328.0,0.077,NaN,O2
330.0,0.08,NaN,O2
335.0,0.08,NaN,O2
340.0,0.08,NaN,O2
