λ,Φ,ΔΦ,species
300.0,0.85,NaN,O(1D)
301.0,0.88,NaN,O(1D)
302.0,0.9,NaN,O(1D)
303.0,0.95,NaN,O(1D)
304.0,0.93,NaN,O(1D)
305.0,0.98,NaN,O(1D)
306.0,0.93,NaN,O(1D)
307.0,0.94,NaN,O(1D)
308.0,0.94,NaN,O(1D)
308.0,0.86,NaN,O(1D)
309.0,0.72,NaN,O(1D)
309.0,0.68,NaN,O(1D)
310.0,0.44,NaN,O(1D)
310.0,0.43,NaN,O(1D)
311.0,0.26,NaN,O(1D)
311.0,0.25,NaN,O(1D)
312.0,0.17,NaN,O(1D)
314.0,0.12,NaN,O(1D)
316.0,0.12,NaN,O(1D)
318.0,0.12,NaN,O(1D)
320.0,0.12,NaN,O(1D)
322.0,0.15,NaN,O(1D)
300.0,0.85,NaN,O2
301.0,0.88,NaN,O2
302.0,0.9,NaN,O2
303.0,0.95,NaN,O2
304.0,0.93,NaN,O2
305.0,0.98,NaN,O2
306.0,0.93,NaN,O2
307.0,0.94,NaN,O2
308.0,0.94,NaN,O2
308.0,0.86,NaN,O2
309.0,0.72,NaN,O2
309.0,0.68,NaN,O2
310.0,0.44,NaN,O2
310.0,0.43,NaN,O2
311.0,0.26,NaN,O2
311.0,0.25,NaN,O2
312.0,0.17,NaN,O2
314.0,0.12,NaN,O2
316.0,0.12,NaN,O2
318.0,0.12,NaN,O2
320.0,0.12,NaN,O2
322.0,0.15,NaN,O2
