λ,Φ,ΔΦ,species
300.0,0.94,NaN,O(1D)
302.5,1.0,NaN,O(1D)
305.0,0.98,NaN,O(1D)
306.0,0.93,NaN,O(1D)
307.0,0.83,NaN,O(1D)
308.0,0.79,NaN,O(1D)
309.0,0.68,NaN,O(1D)
310.0,0.48,NaN,O(1D)
311.0,0.4,NaN,O(1D)
312.0,0.3,NaN,O(1D)
313.0,0.23,NaN,O(1D)
314.0,0.21,NaN,O(1D)
315.0,0.22,NaN,O(1D)
316.0,0.2,NaN,O(1D)
317.0,0.2,NaN,O(1D)
318.0,0.15,NaN,O(1D)
319.0,0.13,NaN,O(1D)
320.0,0.12,NaN,O(1D)
322.5,0.09,NaN,O(1D)
325.0,0.06,NaN,O(1D)
327.5,0.033,NaN,O(1D)
330.0,0.012,NaN,O(1D)
355.0,0.0001,NaN,O(1D)
300.0,0.94,NaN,O2
302.5,1.0,NaN,O2
305.0,0.98,NaN,O2
306.0,0.93,NaN,O2
307.0,0.83,NaN,O2
308.0,0.79,NaN,O2
309.0,0.68,NaN,O2
310.0,0.48,NaN,O2
311.0,0.4,NaN,O2
312.0,0.3,NaN,O2
313.0,0.23,NaN,O2
314.0,0.21,NaN,O2
315.0,0.22,NaN,O2
316.0,0.2,NaN,O2
317.0,0.2,NaN,O2
318.0,0.15,NaN,O2
319.0,0.13,NaN,O2
320.0,0.12,NaN,O2
322.5,0.09,NaN,O2
325.0,0.06,NaN,O2
327.5,0.033,NaN,O2
330.0,0.012,NaN,O2
355.0,0.0001,NaN,O2
