λ,Φ,ΔΦ,species
301.0,1.35,NaN,O(1D)
302.0,1.08,NaN,O(1D)
303.0,0.95,NaN,O(1D)
304.0,0.98,NaN,O(1D)
305.0,1.07,NaN,O(1D)
306.0,0.99,NaN,O(1D)
307.0,0.99,NaN,O(1D)
307.0,1.32,NaN,O(1D)
308.0,1.23,NaN,O(1D)
309.0,1.07,NaN,O(1D)
310.0,1.04,NaN,O(1D)
311.0,0.55,NaN,O(1D)
312.0,0.38,NaN,O(1D)
313.0,0.28,NaN,O(1D)
314.0,0.21,NaN,O(1D)
315.0,0.21,NaN,O(1D)
316.0,0.18,NaN,O(1D)
317.0,0.16,NaN,O(1D)
318.0,0.15,NaN,O(1D)
319.0,0.115,NaN,O(1D)
320.0,0.075,NaN,O(1D)
321.0,0.072,NaN,O(1D)
322.0,0.095,NaN,O(1D)
323.0,0.09,NaN,O(1D)
324.0,0.1,NaN,O(1D)
325.0,0.098,NaN,O(1D)
326.0,0.057,NaN,O(1D)
327.0,0.048,NaN,O(1D)
328.0,0.04,NaN,O(1D)
329.0,0.099,NaN,O(1D)
330.0,0.09,NaN,O(1D)
331.0,0.035,NaN,O(1D)
332.0,0.041,NaN,O(1D)
333.0,0.017,NaN,O(1D)
334.0,0.031,NaN,O(1D)
335.0,0.021,NaN,O(1D)
336.0,0.059,NaN,O(1D)
301.0,1.35,NaN,O2
302.0,1.08,NaN,O2
303.0,0.95,NaN,O2
304.0,0.98,NaN,O2
305.0,1.07,NaN,O2
306.0,0.99,NaN,O2
307.0,0.99,NaN,O2
307.0,1.32,NaN,O2
308.0,1.23,NaN,O2
309.0,1.07,NaN,O2
310.0,1.04,NaN,O2
311.0,0.55,NaN,O2
312.0,0.38,NaN,O2
313.0,0.28,NaN,O2
314.0,0.21,NaN,O2
315.0,0.21,NaN,O2
316.0,0.18,NaN,O2
317.0,0.16,NaN,O2
318.0,0.15,NaN,O2
319.0,0.115,NaN,O2
320.0,0.075,NaN,O2
321.0,0.072,NaN,O2
322.0,0.095,NaN,O2
323.0,0.09,NaN,O2
324.0,0.1,NaN,O2
325.0,0.098,NaN,O2
326.0,0.057,NaN,O2
327.0,0.048,NaN,O2
328.0,0.04,NaN,O2
329.0,0.099,NaN,O2
330.0,0.09,NaN,O2
331.0,0.035,NaN,O2
332.0,0.041,NaN,O2
333.0,0.017,NaN,O2
334.0,0.031,NaN,O2
335.0,0.021,NaN,O2
336.0,0.059,NaN,O2
