λ,Φ,ΔΦ,species
390.0,0.93,NaN,NO
391.0,0.93,NaN,NO
392.0,0.93,NaN,NO
393.0,0.93,NaN,NO
394.0,0.93,NaN,NO
395.0,0.93,NaN,NO
396.0,0.93,NaN,NO
397.0,0.93,NaN,NO
398.0,0.9,NaN,NO
399.0,0.88,NaN,NO
400.0,0.82,NaN,NO
401.0,0.7,NaN,NO
402.0,0.58,NaN,NO
403.0,0.49,NaN,NO
404.0,0.41,NaN,NO
405.0,0.34,NaN,NO
406.0,0.28,NaN,NO
407.0,0.24,NaN,NO
408.0,0.2,NaN,NO
409.0,0.17,NaN,NO
410.0,0.14,NaN,NO
411.0,0.12,NaN,NO
412.0,0.1,NaN,NO
413.0,0.08,NaN,NO
414.0,0.07,NaN,NO
415.0,0.06,NaN,NO
416.0,0.05,NaN,NO
417.0,0.04,NaN,NO
418.0,0.03,NaN,NO
419.0,0.02,NaN,NO
420.0,0.02,NaN,NO
422.0,0.01,NaN,NO
424.0,0.01,NaN,NO
426.0,0.01,NaN,NO
428.0,0.01,NaN,NO
390.0,0.93,NaN,O(3P)
391.0,0.93,NaN,O(3P)
392.0,0.93,NaN,O(3P)
393.0,0.93,NaN,O(3P)
394.0,0.93,NaN,O(3P)
395.0,0.93,NaN,O(3P)
396.0,0.93,NaN,O(3P)
397.0,0.93,NaN,O(3P)
398.0,0.9,NaN,O(3P)
399.0,0.88,NaN,O(3P)
400.0,0.82,NaN,O(3P)
401.0,0.7,NaN,O(3P)
402.0,0.58,NaN,O(3P)
403.0,0.49,NaN,O(3P)
404.0,0.41,NaN,O(3P)
405.0,0.34,NaN,O(3P)
406.0,0.28,NaN,O(3P)
407.0,0.24,NaN,O(3P)
408.0,0.2,NaN,O(3P)
409.0,0.17,NaN,O(3P)
410.0,0.14,NaN,O(3P)
411.0,0.12,NaN,O(3P)
412.0,0.1,NaN,O(3P)
413.0,0.08,NaN,O(3P)
414.0,0.07,NaN,O(3P)
415.0,0.06,NaN,O(3P)
416.0,0.05,NaN,O(3P)
417.0,0.04,NaN,O(3P)
418.0,0.03,NaN,O(3P)
419.0,0.02,NaN,O(3P)
420.0,0.02,NaN,O(3P)
422.0,0.01,NaN,O(3P)
424.0,0.01,NaN,O(3P)
426.0,0.01,NaN,O(3P)
428.0,0.01,NaN,O(3P)
