λ,Φ,ΔΦ,species
300.0,1.0,NaN,NO
350.0,1.0,NaN,NO
398.0,1.0,NaN,NO
399.0,0.95,NaN,NO
400.0,0.88,NaN,NO
401.0,0.75,NaN,NO
402.0,0.62,NaN,NO
403.0,0.53,NaN,NO
404.0,0.44,NaN,NO
405.0,0.37,NaN,NO
406.0,0.3,NaN,NO
407.0,0.26,NaN,NO
408.0,0.22,NaN,NO
409.0,0.18,NaN,NO
410.0,0.15,NaN,NO
411.0,0.13,NaN,NO
412.0,0.11,NaN,NO
413.0,0.09,NaN,NO
414.0,0.08,NaN,NO
415.0,0.06,NaN,NO
300.0,1.0,NaN,O(3P)
350.0,1.0,NaN,O(3P)
398.0,1.0,NaN,O(3P)
399.0,0.95,NaN,O(3P)
400.0,0.88,NaN,O(3P)
401.0,0.75,NaN,O(3P)
402.0,0.62,NaN,O(3P)
403.0,0.53,NaN,O(3P)
404.0,0.44,NaN,O(3P)
405.0,0.37,NaN,O(3P)
406.0,0.3,NaN,O(3P)
407.0,0.26,NaN,O(3P)
408.0,0.22,NaN,O(3P)
409.0,0.18,NaN,O(3P)
410.0,0.15,NaN,O(3P)
411.0,0.13,NaN,O(3P)
412.0,0.11,NaN,O(3P)
413.0,0.09,NaN,O(3P)
414.0,0.08,NaN,O(3P)
415.0,0.06,NaN,O(3P)
