λ,Φ,ΔΦ,species
299.5,1.91,NaN,NO
308.3,2.165,NaN,NO
317.9,1.999,NaN,NO
327.6,2.007,NaN,NO
337.3,1.933,NaN,NO
347.4,2.169,NaN,NO
360.9,1.893,NaN,NO
367.3,1.618,NaN,NO
376.8,1.9,NaN,NO
387.2,2.045,NaN,NO
391.7,2.045,NaN,NO
397.2,1.724,NaN,NO
403.3,1.349,NaN,NO
406.2,0.672,NaN,NO
412.0,0.288,NaN,NO
416.0,0.123,NaN,NO
420.9,0.0675,NaN,NO
425.8,0.0304,NaN,NO
435.8,0.0383,NaN,NO
445.8,0.0188,NaN,NO
299.5,1.91,NaN,O(3P)
308.3,2.165,NaN,O(3P)
317.9,1.999,NaN,O(3P)
327.6,2.007,NaN,O(3P)
337.3,1.933,NaN,O(3P)
347.4,2.169,NaN,O(3P)
360.9,1.893,NaN,O(3P)
367.3,1.618,NaN,O(3P)
376.8,1.9,NaN,O(3P)
387.2,2.045,NaN,O(3P)
391.7,2.045,NaN,O(3P)
397.2,1.724,NaN,O(3P)
403.3,1.349,NaN,O(3P)
406.2,0.672,NaN,O(3P)
412.0,0.288,NaN,O(3P)
416.0,0.123,NaN,O(3P)
420.9,0.0675,NaN,O(3P)
425.8,0.0304,NaN,O(3P)
435.8,0.0383,NaN,O(3P)
445.8,0.0188,NaN,O(3P)
