idx,Source,Reactants,,,Products,,,,Product Stoich,,,,a1,a2,a3,a4,a5,a6,b1,b2,b3,b4,is_DependsEV,is_NPD,contains_M,contains_ClCO,contains_ClCO3,contains_COCl2,contains_APINENE,contains_BPINENE,contains_ClCO_and_ClCO3,contains_ClCO_and_COCl2,contains_only_low
R164,NB,COF,F,,COF2,,,,1,,,,6.50E-29,0,0,1.40E-11,0,0,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
R166,NB,F,CO,,COF,,,,1,,,,8.10E-32,0,0,9.40E-11,0,0,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
R167,NB,F,O2,,FO2,,,,1,,,,1.60E-32,0,0,3.00E-11,0,0,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
R171,NB,CF3,O2,,CF3OO,,,,1,,,,6.73E-29,-5.708,-386.4,3.77E-12,0,243.7,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
R226,X7,O+,N2,,NO+,N,,,1,1,,,,,,,,,-10.27591,2.288998,-0.3839284,-0.853439,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
R227,X7,O+,O2,,O2+,O,,,1,1,,,,,,,,,-1.03E+01,1.203318,0.1712248,-4.13E-01,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
R317,XX,N2+,O2,,O2+,N2,,,1,1,,,,,,,,,-11.0342,0.7823511,1.733066,0.4917498,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
R484,NB,NO2,NO2,,N2O4,,,,1,,,,1.27E-28,-12.7,-3433,8.30E-13,-1.1,0,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
R487,NB,NO,NO2,,N2O3,,,,1,,,,9.11E-33,0,0,3.40E-12,0,0,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
R734,NB,SO,O,,SO2,,,,1,,,,1.03E-32,0,1229,5.30E-11,0,0,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
R739,NB,SO2,OH,,HOSO2,,,,1,,,,2.17E-32,0,849.5,1.50E-12,0,0,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
R740,NB,SO2,O,,SO3,,,,1,,,,1.26E-32,0,-636.9,8.19E-08,0,-1258,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
R750,NB,SO3,O,,O2,SO2,,,1,1,,,2.82E-30,0,0,3.02E-11,0,-4436,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
R806,NB,CCl3,O2,,CCl3O2,,,,1,,,,4.97E-32,0,892.1,4.50E-09,-10.99,-2295,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
