Rxn #,Reactant,,,Product,,,A1,A2,A3,A4,A5,n(M)? [n(M) = cm^-3]
56,O2-.H2O,NO,,NO3-,H2O,,2.0E-10,,,,,FALSE
57,O3-,O,,O2-,O2,,2.5E-10,,,,,FALSE
58,O3-,H,,OH-,O2,,8.4E-10,,,,,FALSE
59,O3-,CO2,,CO3-,O2,,5.5E-10,,,,,FALSE
60,O3-,NO2,,NO3-,O2,,2.8E-10,,,,,FALSE
61,O3-,NO,,NO3-,O,,4.5E-12,,,,,FALSE
62,CO3-,O,,O2-,CO2,,1.1E-10,,,,,FALSE
63,CO3-,H,,OH-,CO2,,1.7E-10,,,,,FALSE
64,CO3-,NO,,NO2-,CO2,,1.0E-11,,,,,FALSE
65,CO3-,NO2,,NO3-,CO2,,2E-10,,,,,FALSE
66,NO2-,O3,,NO3-,O2,,1.2E-10,,,,,FALSE
67,NO2-,NO2,,NO3-,NO,,2.0E-13,,,,,FALSE
68,NO2-,H,,OH-,NO,,3.0E-10,,,,,FALSE
69,OH-,NO2,,NO2-,OH,,1.1E-09,,,,,FALSE
70,OH-,O3,,O3-,OH,,9.0E-10,,,,,FALSE
71,OH-,CO2,,HCO3-,,,7.6E-28,,,,,TRUE
72,OH-,H,,e,H2O,,1.4E-09,,,,,FALSE
73,OH-,O,,e,HO2,,2.0E-10,,,,,FALSE
74,O4-,O,,O3-,O2,,4.0E-10,,,,,FALSE
75,O4-,CO2,,CO4-,O2,,4.3E-10,,,,,FALSE
76,O4-,NO,,NO3-,O2,,2.5E-10,,,,,FALSE
77,O4-,H2O,,O2-(H2O),O2,,1E-10,,,,,FALSE
78,CO4-,O3,,O3-,CO2,O2,1.3E-10,,,,,FALSE
79,CO4-,O,,CO3-,O2,,1.4E-10,,,,,FALSE
80,CO4-,H,,CO3-,OH,,2.2E-10,,,,,FALSE
81,CO4-,NO,,NO3-,CO2,,4.8E-11,,,,,FALSE
82,CO4-,H2O,,O2-.H2O,CO2,,2.5E-10,,,,,FALSE
