λ,Φ,ΔΦ,species
290.0,0.56,NaN,CH3
300.0,0.37,NaN,CH3
313.0,0.14,NaN,CH3
320.0,0.053,NaN,CH3
331.2,0.01,NaN,CH3
290.0,0.56,NaN,CHO
300.0,0.37,NaN,CHO
313.0,0.14,NaN,CHO
320.0,0.053,NaN,CHO
331.2,0.01,NaN,CHO
