Rxn #,Reactant,,,Product,,,K1,X1,K2,X2,K3,X3,K4,X4,K5,X5,K6,X6, X not =,Source 1,Note 1,Source 2,Note 2,Source 3,Note 3,Source 4,Note 4,Source 5,Note 5,Source 6,Note 6
16,CO3-,H2O,X,CO3-(H2O),X,,1E-28,,,,,,,,,,,,,Fehsenfeld et al. 1974,A,,,,,,,,,,
17,CO4-,O2,,O4-,CO2,,2.1E-14,,,,,,,,,,,,,Calculated from (6) and Adams et al. (1970),,,,,,,,,,,
18,CO4-,H2O,,O2-(H2O),CO2,,2.5E-10,,,,,,,,,,,,,Calculated from (21) and Fehsenfeld et al. (1974),,,,,,,,,,,
19,CO4-,H2O,X,CO4-(H2O),X,,1E-28,,,,,,,,,,,,,Estimated,,,,,,,,,,,
20,O2-(H2O),H2O,X,O2-(H2O)2,X,,5.4E-28,,,,,,,,,,,,,Paysant et al. 1972,A,,,,,,,,,,
21,O2-(H2O),CO2,,CO4-,H2O,,5.8E-10,,,,,,,,,,,,,Adams et al. 1970,,,,,,,,,,,
22,O2-(H2O)2,H2O,X,O2-(H2O)3,X,,2.1E-28,,,,,,,,,,,,,Calculated from Paysant et al. (1972),,,,,,,,,,,
23,O2-(H2O)2,X,,O2-(H2O),X,H2O,1.1E-14,,,,,,,,,,,,,Paysant et al. 1972,A,,,,,,,,,,
24,O2-(H2O)2,CO2,,CO4-(H2O),H2O,,6.6E-12,,,,,,,,,,,,,Calculated from (42) and Fehsenfeld et al. (1974),,,,,,,,,,,
25,O-(H2O),O2,,O3-,H2O,,<=1E-11,,,,,,,,,,,,,Fehsenfeld et al. (1974),B,,,,,,,,,,
26,O-(H2O),H2O,,OH-(H2O),OH,,<=1E-11,,,,,,,,,,,,,Fehsenfeld et al. (1974),B,,,,,,,,,,
27,O3-(H2O),CO2,,CO3-,O2,H2O,1.75E-10,,,,,,,,,,,,,Fehsenfeld et al. (1974),B,,,,,,,,,,
28,O3-(H2O),CO2,,O3-(H2O),O2,,1.75E-10,,,,,,,,,,,,,Estimated,,,,,,,,,,,
29,O3-(H2O)2,CO2,,CO3-(H2O),H2O,O2,<=1E-10,,,,,,,,,,,,,Fehsenfeld et al (1974),B,,,,,,,,,,
