reaction,download_url,T2,λ2,author_year,comments,λ1,name,doi,T1,fname
ClONO2 → O(3P)+ClONO,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Halogenated%20N-compounds(inorg)/ClONO2%7BO(3P)+ClONO%7D_Burrows(1988)_298K_254nm.txt,NaN,NaN,Burrows(1988),"Modulated photolysis, products identified by matrix isolation FTIR.",254.0,chlorine nitrate → O(3P)+ClONO, https://doi.org/10.1021/j100326a020,298.0,quantum-yields/Halogenated N-compounds(inorg)/ClONO2 → O(3P)+ClONO/ClONO2{O(3P)+ClONO}_Burrows(1988)_298K_254nm.csv
ClONO2 → O(3P)+ClONO,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Halogenated%20N-compounds(inorg)/ClONO2%7BO(3P)+ClONO%7D_Goldfarb(1997)_298K_193-308nm.txt,NaN,308.0,Goldfarb(1997),Measure of products Cl and O(,193.0,chlorine nitrate → O(3P)+ClONO, https://doi.org/10.1021/jp970818f,298.0,quantum-yields/Halogenated N-compounds(inorg)/ClONO2 → O(3P)+ClONO/ClONO2{O(3P)+ClONO}_Goldfarb(1997)_298K_193-308nm.csv
ClONO2 → O(3P)+ClONO,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Halogenated%20N-compounds(inorg)/ClONO2%7BO(3P)+ClONO%7D_Margitan(1983)_298K_266-355nm.txt,NaN,355.0,Margitan(1983),Monitoring O(,266.0,chlorine nitrate → O(3P)+ClONO, https://doi.org/10.1021/j100227a029,298.0,quantum-yields/Halogenated N-compounds(inorg)/ClONO2 → O(3P)+ClONO/ClONO2{O(3P)+ClONO}_Margitan(1983)_298K_266-355nm.csv
ClONO2 → O(3P)+ClONO,https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Halogenated%20N-compounds(inorg)/ClONO2%7BO(3P)+ClONO%7D_Tyndall(1997)_298K_308nm.txt,NaN,NaN,Tyndall(1997),"Measure of products Cl, and O(",308.0,chlorine nitrate → O(3P)+ClONO, https://doi.org/10.1039/A701585B,298.0,quantum-yields/Halogenated N-compounds(inorg)/ClONO2 → O(3P)+ClONO/ClONO2{O(3P)+ClONO}_Tyndall(1997)_298K_308nm.csv
ClONO2 → O(3P)+ClONO,"https://uv-vis-spectral-atlas-mainz.org//uvvis_data/quantum_yields/Halogenated%20N-compounds(inorg)/ClONO2%7BO(3P)+ClONO%7D_Yokelson(1997)_298K_193,248nm.txt",NaN,248.0,Yokelson(1997),O(,193.0,chlorine nitrate → O(3P)+ClONO, https://doi.org/10.1021/jp9708198,298.0,"quantum-yields/Halogenated N-compounds(inorg)/ClONO2 → O(3P)+ClONO/ClONO2{O(3P)+ClONO}_Yokelson(1997)_298K_193,248nm.csv"
