is_integrated,varname,printname,mpi-mainz-uvviz,long-name,CASRN
1,CHEX,cyclohexane,c-C6H12,Cyclohexane,110-82-7
1,C2H4,C_2H_4,CH2=CH2,Ethene,74-85-1
1,HOCH2CH2OO,HOCH_2CH_2O_2,CH2(OH)CH2O2,2-hydroxyethylperoxy radical,
1,C3H6,C_3H_6,CH2=CHCH3,Propene,0115-07-01
1,RN9O2,RN_9O_2,,,
1,BUT1ENE,but1ene,CH2=CHCH2CH3,1-Butene ,106-98-9
1,RN12O2,RN_{12}O_2,,,
1,PENT1ENE,pent1ene,n-C5H10-1,1-Pentene,109-67-1
1,RN15O2,RN_{15}O_2,,,
1,HEX1ENE,Hex1ene,n-C6H12-1,1-Hexene,592-41-6
1,RN18O2,RN_{18}O_2,,,
1,CBUT2ENE,c-but2ene,,,
1,TBUT2ENE,t-but2ene,,,
1,CPENT2ENE,c-pent2ene,,,
1,TPENT2ENE,t-pent2ene,,,
1,CHEX2ENE,c-hex2ene,,,
1,THEX2ENE,t-hex2ene,,,
1,MEPROPENE,methylpropene,,,
1,RI12O2,RI_{12}O_2,,,
1,ME2BUT1ENE,2-methylbut1ene,,,
1,ME3BUT1ENE,3-methylbut1ene,,,
1,RI15O2,RI_{15}O_2,,,
1,ME2BUT2ENE,2-methylbut2ene,,,
1,NRN6O2,NRN_6O_2,,,
1,NRN9O2,NRN_9O_2,,,
1,NRN12O2,NRN_{12}O_2,,,
1,NRN15O2,NRN_{15}O_2,,,
1,NRN18O2,NRN_{18}O_2,,,
1,NRI12O2,NRI_{12}O_2,,,
1,NRI15O2,NRI_{15}O_2,,,
1,MeCHO,CH_3CHO,CH3CHO,Acetaldehyde,75-07-0
1,EtCHO,C_2H_5CHO,C2H5CHO,Propanal,123-38-6
1,MeCO2H,CH_3CO_2H,CH3C(O)OH,Acetic Acid,64-19-7
1,Me2CO,CH_3COCH_3,CH3C(O)CH3,Acetone,67-64-1
1,CARB11,CARB11,,,
1,CARB14,CARB14,,,
1,C4H6,C_4H_6,,1-butyne ? 2-butyne ?,
1,RN11O2,RN_{11}O_2,,,
1,C5H8,C_5H_8,,1-pentyne ? 2-pentyne ? Cyclopentene,
1,RN14O2,RN_{14}O_2,,,
1,NRN11O2,NRN_{11}O_2,,,
1,NRN14O2,NRN_{14}O_2,,,
1,RT28O2,RT_{28}O_2,,,
1,NRT28O2,NRT_{28}O_2,,,
1,CARB17,CARB17,,,
1,BENZENE,benzene,C6H6,Benzene,71-43-2
1,TOLUENE,toluene,(CH3)C6H5,Toluene,108-88-3
1,OXYL,o-xylene,o-(CH3)2C6H4,O-xylene,95-47-6
1,RN21O2,RN_{21}O_2,,,
1,MXYL,m-xylene,m-(CH3)2C6H4,m-xylene,108-38-3
1,PXYL,p-xylene,p-(CH3)2C6H4,p-xylene,106-42-3
1,EBENZ,ethylbenzene,(C2H5)C6H5,Ethylbenzene,100-41-4
1,PBENZ,n-propylbenzene,,,
1,RN24O2,RN_{24}O_2,,,
1,IPBENZ,i-propylbenzene,,,
1,RI24O2,RI_{24}O_2,,,
1,TM123B,"1,2,3-trimethylbenzene",,,
1,TM124B,"1,2,4-trimethylbenzene",,,
1,TM135B,"1,3,5-trimethylbenzene",,,
1,OETHTOL,o-ethyltoluene,,,
1,METHTOL,m-ethyltoluene,,,
1,PETHTOL,p-ethyltoluene,,,
1,DIME35EB,"3,5dimethylethylbenzene",,,
1,RN27O2,RN_{27}O_2,,,
1,DIET35TOL,"3,5-diethyltoluene",,,
1,RN30O2,RN_{30}O_2,,,
1,RE2O2,RE_2O_2,,,
1,C2H2,C_2H_2,C2H2,Acetylene,74-86-2
1,C3H7CHO,C_3H_7CHO,,?isobutyraldehyde ? N-butyraldehyde,
1,IPRCHO,i-butanal,"i-C3H7CHO,(CH3)2CHCHO",isobutyraldehyde,78-84-2
1,C4H9CHO,C_4H_9CHO,,? i/n/t-pentanal ? ,
1,MeCO3,CH_3CO_3,,,
1,CH2OO,HCOOH,HC(O)OH,Formic Acid,64-18-6
1,RN8O2,RN_8O_2,,,
1,MEK,2-butanone,CH3C(O)C2H5,Methyl Ethyl Ketone,78-93-3
