λ,Φ,ΔΦ,species
247.0,0.3,NaN,CH4
257.0,0.531,NaN,CH4
257.0,0.402,NaN,CH4
260.0,0.43,NaN,CH4
267.0,0.427,NaN,CH4
267.0,0.348,NaN,CH4
267.0,0.349,NaN,CH4
270.0,0.276,NaN,CH4
275.0,0.14,NaN,CH4
277.0,0.0728,NaN,CH4
277.0,0.0758,NaN,CH4
278.1,0.0542,NaN,CH4
278.1,0.0535,NaN,CH4
285.6,0.012,NaN,CH4
285.6,0.0073,NaN,CH4
287.0,0.0118,NaN,CH4
287.0,0.001,NaN,CH4
294.9,0.0064,NaN,CH4
294.9,0.0015,NaN,CH4
297.0,0.004,NaN,CH4
304.4,0.0034,NaN,CH4
304.4,0.006,NaN,CH4
307.0,0.004,NaN,CH4
313.0,0.0026,NaN,CH4
317.0,0.004,NaN,CH4
317.0,0.002,NaN,CH4
