λ,Φ,ΔΦ,species
299.1,1.0,NaN,total
317.2,1.01,NaN,total
326.2,0.9,NaN,total
329.8,0.96,NaN,total
339.2,0.63,NaN,total
353.5,0.34,NaN,total
