λ,Φ,ΔΦ,species
250.0,0.78,NaN,total
251.0,0.78,NaN,total
252.0,0.78,NaN,total
253.0,0.78,NaN,total
254.0,0.78,NaN,total
255.0,0.78,NaN,total
256.0,0.78,NaN,total
257.0,0.78,NaN,total
258.0,0.78,NaN,total
259.0,0.78,NaN,total
260.0,0.78,NaN,total
261.0,0.78,NaN,total
262.0,0.78,NaN,total
263.0,0.78,NaN,total
264.0,0.78,NaN,total
265.0,0.79,NaN,total
266.0,0.79,NaN,total
267.0,0.79,NaN,total
268.0,0.79,NaN,total
269.0,0.8,NaN,total
270.0,0.8,NaN,total
271.0,0.81,NaN,total
272.0,0.81,NaN,total
273.0,0.82,NaN,total
274.0,0.83,NaN,total
275.0,0.84,NaN,total
276.0,0.85,NaN,total
277.0,0.86,NaN,total
278.0,0.88,NaN,total
279.0,0.89,NaN,total
280.0,0.9,NaN,total
281.0,0.92,NaN,total
282.0,0.93,NaN,total
283.0,0.94,NaN,total
284.0,0.95,NaN,total
285.0,0.96,NaN,total
286.0,0.97,NaN,total
287.0,0.97,NaN,total
288.0,0.98,NaN,total
289.0,0.98,NaN,total
290.0,0.98,NaN,total
291.0,0.99,NaN,total
292.0,0.99,NaN,total
293.0,0.99,NaN,total
294.0,0.99,NaN,total
295.0,0.99,NaN,total
296.0,1.0,NaN,total
297.0,1.0,NaN,total
298.0,1.0,NaN,total
299.0,1.0,NaN,total
300.0,1.0,NaN,total
301.0,1.0,NaN,total
302.0,1.0,NaN,total
303.0,1.0,NaN,total
304.0,1.0,NaN,total
305.0,1.0,NaN,total
306.0,1.0,NaN,total
307.0,1.0,NaN,total
308.0,1.0,NaN,total
309.0,1.0,NaN,total
310.0,1.0,NaN,total
311.0,1.0,NaN,total
312.0,1.0,NaN,total
313.0,1.0,NaN,total
314.0,1.0,NaN,total
315.0,1.0,NaN,total
316.0,0.99,NaN,total
317.0,0.99,NaN,total
318.0,0.99,NaN,total
319.0,0.99,NaN,total
320.0,0.99,NaN,total
321.0,0.99,NaN,total
322.0,0.98,NaN,total
323.0,0.98,NaN,total
324.0,0.98,NaN,total
325.0,0.97,NaN,total
326.0,0.97,NaN,total
327.0,0.96,NaN,total
328.0,0.96,NaN,total
329.0,0.95,NaN,total
330.0,0.94,NaN,total
331.0,0.93,NaN,total
332.0,0.92,NaN,total
333.0,0.9,NaN,total
334.0,0.89,NaN,total
335.0,0.87,NaN,total
336.0,0.85,NaN,total
337.0,0.83,NaN,total
338.0,0.8,NaN,total
339.0,0.78,NaN,total
340.0,0.75,NaN,total
341.0,0.72,NaN,total
342.0,0.68,NaN,total
343.0,0.65,NaN,total
344.0,0.61,NaN,total
345.0,0.57,NaN,total
346.0,0.53,NaN,total
347.0,0.5,NaN,total
348.0,0.46,NaN,total
349.0,0.42,NaN,total
350.0,0.38,NaN,total
351.0,0.35,NaN,total
352.0,0.32,NaN,total
353.0,0.28,NaN,total
354.0,0.26,NaN,total
355.0,0.23,NaN,total
356.0,0.2,NaN,total
357.0,0.18,NaN,total
358.0,0.16,NaN,total
359.0,0.14,NaN,total
360.0,0.13,NaN,total
