This data file corresponds to AutoChem intervals 46 to 62
O2 S-R lbl model plus Yoshino '88 Herzberg continuum 
wavelength range, temperature (tau=1), X-sections in six sub-intervals
Interval  T(K) 0.05       0.20       0.25       0.25       0.20       0.05              
1754-1770 205  8.623E-21  2.022E-20  5.041E-20  9.021E-20  3.001E-19  1.053E-18
1770-1786 205  1.120E-21  2.584E-21  6.615E-21  2.386E-20  1.181E-19  1.345E-18
1786-1802 210  8.068E-22  1.416E-21  3.236E-21  1.179E-20  8.016E-20  5.056E-19
1802-1818 205  6.010E-22  1.746E-21  4.078E-21  1.662E-20  8.519E-20  3.627E-19
1818-1835 235  3.110E-22  6.700E-22  2.250E-21  7.610E-21  4.188E-20  2.551E-19
1835-1852 220  1.370E-22  3.310E-22  8.980E-22  3.270E-21  1.900E-20  1.140E-19
1852-1869 225  1.079E-22  2.071E-22  5.616E-22  1.714E-21  9.186E-21  6.135E-20
1869-1887 235  4.483E-23  6.348E-23  2.055E-22  8.140E-22  4.167E-21  3.383E-20
1887-1905 250  1.910E-23  3.267E-23  9.747E-23  2.976E-22  1.650E-21  1.433E-20
1905-1923 260  1.050E-23  1.950E-23  4.223E-23  1.480E-22  6.410E-22  7.177E-21
1923-1942 255  1.253E-23  1.772E-23  5.382E-23  2.001E-22  9.795E-22  3.458E-21
1942-1961 240  8.042E-24  9.793E-24  1.612E-23  4.566E-23  2.395E-22  1.428E-21
1961-1980 230  6.781E-24  7.112E-24  8.475E-24  1.338E-23  4.295E-23  3.800E-22
1980-2000 225  6.739E-24  6.796E-24  7.013E-24  7.844E-24  1.099E-23  5.874E-23
2000-2020 225  6.842E-24  6.852E-24  6.927E-24  7.304E-24  8.851E-24  3.567E-23
2020-2041 225  6.847E-24  6.858E-24  6.873E-24  6.895E-24  7.083E-24  1.085E-23
2041-2062 225  6.811E-24  6.822E-24  6.839E-24  6.854E-24  6.862E-24  6.866E-24
