 wavelength bands (cm-1) 
        Center WL       Start WL       Stop WL
    82304.5        82644.6        81967.2    
    85689.8        85910.7        85470.1    
    85251.5        85470.1        85034.0    
    84817.6        85034.0        84530.9    
    84246.0        84530.9        83998.3    
    83752.1        83998.3        83472.5    
    83194.7        83472.5        82987.6    
    82781.5        82987.6        82508.2    
    82236.8        82508.2        82000.8    
    81766.1        82000.8        81499.6    
    81234.8        81499.6        81004.5    
    80775.4        81004.5        80515.3    
    80256.8        80515.3        80000.0    
    79744.8        80000.0        79491.3    
    79239.3        79491.3        78988.9    
    78740.2        78988.9        78492.9    
    78247.3        78492.9        78003.1    
    77760.5        78003.1        77519.4    
    77279.8        77519.4        77011.9    
    76746.0        77011.9        76511.1    
    76277.7        76511.1        76016.7    
    75757.6        76016.7        75500.2    
    75244.5        75500.2        74990.6    
    74738.4        74990.6        74515.6    
    74294.2        74515.6        74019.2    
    73746.3        74019.2        73502.4    
    73260.1        73502.4        73019.4    
    72780.2        73019.4        72516.3    
    72254.3        72516.3        71864.9    
    71479.6        71864.9        70997.5    
    70521.9        70997.5        70003.5    
    69492.7        70003.5        69013.1    
    68540.1        69013.1        68027.2    
    67521.9        68027.2        67001.7    
    66489.4        67001.7        66006.6    
    65530.8        66006.6        65019.5    
    64516.1        65019.5        64020.5    
    63532.4        64020.5        63012.0    
    62500.0        63012.0        61996.3    
    61500.6        61996.3        60994.2    
    60496.1        60994.2        59988.0    
    59488.4        59988.0        58997.1    
    58513.8        58997.1        58139.5    
    57770.1        58139.5        57520.9    
    57273.8        57520.9        57012.5    
    56753.7        57012.5        56497.2    
    56243.0        56497.2        55991.0    
    55741.4        55991.0        55493.9    
    55248.6        55493.9        54990.4    
    54734.5        54990.4        54495.9    
    54259.4        54495.9        53995.7    
    53734.6        53995.7        53490.2    
    53248.1        53490.2        52994.2    
    52742.6        52994.2        52493.4    
    52246.6        52493.4        52002.1    
    51759.8        52002.1        51506.6    
    51255.8        51506.6        51007.4    
    50761.4        51007.4        50505.1    
    50251.3        50505.1        50000.0    
    49751.2        50000.0        49492.7    
    49236.8        49492.7        48995.6    
    48756.7        48995.6        48496.6    
    48239.3        48496.6        47996.2    
    47755.5        47996.2        47505.9    
