wavelength bands (micron) 
       Center WL       Start WL       Stop WL
       0.121500       0.121000       0.122000
       0.116700       0.116400       0.117000
       0.117300       0.117000       0.117600
       0.117900       0.117600       0.118300
       0.118700       0.118300       0.119050
       0.119400       0.119050       0.119800
       0.120200       0.119800       0.120500
       0.120800       0.120500       0.121200
       0.121600       0.121200       0.121950
       0.122300       0.121950       0.122700
       0.123100       0.122700       0.123450
       0.123800       0.123450       0.124200
       0.124600       0.124200       0.125000
       0.125400       0.125000       0.125800
       0.126200       0.125800       0.126600
       0.127000       0.126600       0.127400
       0.127800       0.127400       0.128200
       0.128600       0.128200       0.129000
       0.129400       0.129000       0.129850
       0.130300       0.129850       0.130700
       0.131100       0.130700       0.131550
       0.132000       0.131550       0.132450
       0.132900       0.132450       0.133350
       0.133800       0.133350       0.134200
       0.134600       0.134200       0.135100
       0.135600       0.135100       0.136050
       0.136500       0.136050       0.136950
       0.137400       0.136950       0.137900
       0.138400       0.137900       0.139150
       0.139900       0.139150       0.140850
       0.141800       0.140850       0.142850
       0.143900       0.142850       0.144900
       0.145900       0.144900       0.147000
       0.148100       0.147000       0.149250
       0.150400       0.149250       0.151500
       0.152600       0.151500       0.153800
       0.155000       0.153800       0.156200
       0.157400       0.156200       0.158700
       0.160000       0.158700       0.161300
       0.162600       0.161300       0.163950
       0.165300       0.163950       0.166700
       0.168100       0.166700       0.169500
       0.170900       0.169500       0.172000
       0.173100       0.172000       0.173850
       0.174600       0.173850       0.175400
       0.176200       0.175400       0.177000
       0.177800       0.177000       0.178600
       0.179400       0.178600       0.180200
       0.181000       0.180200       0.181850
       0.182700       0.181850       0.183500
       0.184300       0.183500       0.185200
       0.186100       0.185200       0.186950
       0.187800       0.186950       0.188700
       0.189600       0.188700       0.190500
       0.191400       0.190500       0.192300
       0.193200       0.192300       0.194150
       0.195100       0.194150       0.196050
       0.197000       0.196050       0.198000
       0.199000       0.198000       0.200000
       0.201000       0.200000       0.202050
       0.203100       0.202050       0.204100
       0.205100       0.204100       0.206200
       0.207300       0.206200       0.208350
       0.209400       0.208350       0.210500
       0.211600       0.210500       0.212750
       0.213900       0.212750       0.215050
       0.216200       0.215050       0.217400
       0.218600       0.217400       0.219800
       0.221000       0.219800       0.222250
       0.223500       0.222250       0.224750
       0.226000       0.224750       0.227300
       0.228600       0.227300       0.229900
       0.231200       0.229900       0.232550
       0.233900       0.232550       0.235300
       0.236700       0.235300       0.238100
       0.239500       0.238100       0.240950
       0.242400       0.240950       0.243900
       0.245400       0.243900       0.246950
       0.248500       0.246950       0.250050
       0.251600       0.250050       0.253200
       0.254800       0.253200       0.256450
       0.258100       0.256450       0.259750
       0.261400       0.259750       0.263150
       0.264900       0.263150       0.266700
       0.268500       0.266700       0.270300
       0.272100       0.270300       0.274000
       0.275900       0.274000       0.277800
       0.279700       0.277800       0.281700
       0.283700       0.281700       0.285750
       0.287800       0.285750       0.289900
       0.292000       0.289900       0.294150
       0.296300       0.294150       0.298550
       0.300800       0.298550       0.303050
       0.305300       0.303050       0.307650
       0.310000       0.307650       0.312500
       0.315000       0.312500       0.317500
       0.320000       0.317500       0.322500
       0.325000       0.322500       0.327500
       0.330000       0.327500       0.332500
       0.335000       0.332500       0.337500
       0.340000       0.337500       0.342500
       0.345000       0.342500       0.347500
       0.350000       0.347500       0.352500
       0.355000       0.352500       0.357500
       0.360000       0.357500       0.362500
       0.365000       0.362500       0.367500
       0.370000       0.367500       0.372500
       0.375000       0.372500       0.377500
       0.380000       0.377500       0.382500
       0.385000       0.382500       0.387500
       0.390000       0.387500       0.392500
       0.395000       0.392500       0.397500
       0.400000       0.397500       0.402500
       0.405000       0.402500       0.407500
       0.410000       0.407500       0.412500
       0.415000       0.412500       0.417500
       0.420000       0.417500       0.422500
       0.425000       0.422500       0.427500
       0.430000       0.427500       0.432500
       0.435000       0.432500       0.437500
       0.440000       0.437500       0.442500
       0.445000       0.442500       0.447500
       0.450000       0.447500       0.452500
       0.455000       0.452500       0.457500
       0.460000       0.457500       0.462500
       0.465000       0.462500       0.467500
       0.470000       0.467500       0.472500
       0.475000       0.472500       0.477500
       0.480000       0.477500       0.482500
       0.485000       0.482500       0.487500
       0.490000       0.487500       0.492500
       0.495000       0.492500       0.497500
       0.500000       0.497500       0.502500
       0.505000       0.502500       0.507500
       0.510000       0.507500       0.512500
       0.515000       0.512500       0.517500
       0.520000       0.517500       0.522500
       0.525000       0.522500       0.527500
       0.530000       0.527500       0.532500
       0.535000       0.532500       0.537500
       0.540000       0.537500       0.542500
       0.545000       0.542500       0.547500
       0.550000       0.547500       0.552500
       0.555000       0.552500       0.557500
       0.560000       0.557500       0.562500
       0.565000       0.562500       0.567500
       0.570000       0.567500       0.572500
       0.575000       0.572500       0.577500
       0.580000       0.577500       0.582500
       0.585000       0.582500       0.587500
       0.590000       0.587500       0.592500
       0.595000       0.592500       0.597500
       0.600000       0.597500       0.602500
       0.605000       0.602500       0.607500
       0.610000       0.607500       0.612500
       0.615000       0.612500       0.617500
       0.620000       0.617500       0.622500
       0.625000       0.622500       0.627500
       0.630000       0.627500       0.632500
       0.635000       0.632500       0.637500
       0.640000       0.637500       0.642500
       0.645000       0.642500       0.647500
       0.650000       0.647500       0.652500
       0.655000       0.652500       0.657500
       0.660000       0.657500       0.662500
       0.665000       0.662500       0.667500
       0.670000       0.667500       0.672500
       0.675000       0.672500       0.677500
       0.680000       0.677500       0.682500
       0.685000       0.682500       0.687500
       0.690000       0.687500       0.692500
       0.695000       0.692500       0.697500
       0.700000       0.697500       0.702500
       0.705000       0.702500       0.707500
       0.710000       0.707500       0.712500
       0.715000       0.712500       0.717500
       0.720000       0.717500       0.722500
       0.725000       0.722500       0.727500
       0.730000       0.727500       0.732500
       0.735000       0.732500       0.737500
       0.740000       0.737500       0.742500
       0.745000       0.742500       0.747500
       0.750000       0.747500       0.752500
       0.755000       0.752500       0.757500
       0.760000       0.757500       0.762500
       0.765000       0.762500       0.767500
       0.770000       0.767500       0.772500
       0.775000       0.772500       0.777500
       0.780000       0.777500       0.782500
       0.785000       0.782500       0.787500
       0.790000       0.787500       0.792500
       0.795000       0.792500       0.797500
       0.800000       0.797500       0.802500
       0.805000       0.802500       0.807500
       0.810000       0.807500       0.812500
       0.815000       0.812500       0.817500
       0.820000       0.817500       0.822500
       0.825000       0.822500       0.827500
       0.830000       0.827500       0.832500
       0.835000       0.832500       0.837500
       0.840000       0.837500       0.842500
       0.845000       0.842500       0.847500
       0.850000       0.847500       0.852500
