species_in_total,name
"[14, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 12, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 8, 1, 2, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 3, 1, 1, 2, 2, 1, 1, 3, 1, 1, 1, 3, 1, 1, 2]","[""NOy"", ""N"", ""NO"", ""NO2"", ""NO3"", ""N2O5"", ""HONO"", ""HONO2"", ""HO2NO2"", ""ClNO2"", ""ClONO2"", ""BrONO2"", ""BrONO"", ""MeONO2"", ""MeO2NO2"", ""ClOy"", ""Cl"", ""Cl2"", ""ClO"", ""ClOO"", ""OClO"", ""Cl2O2"", ""ClNO2"", ""ClONO2"", ""HCl"", ""HOCl"", ""MeOCl"", ""BrCl"", ""BrOy"", ""Br"", ""Br2"", ""BrO"", ""BrONO2"", ""BrONO"", ""HBr"", ""HOBr"", ""BrCl"", ""NOx"", ""N"", ""NO"", ""NO2"", ""NO3"", ""ClOx"", ""Cl"", ""ClO"", ""Cl2O2"", ""BrOx"", ""Br"", ""BrO"", ""HOx"", ""H"", ""OH"", ""HO2"", ""Hy"", ""H2"", ""H2O"", ""CH4""]"
"[12, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 12, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 8, 1, 2, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 3, 1, 1, 2, 2, 1, 1, 3, 1, 1, 1, 3, 1, 1, 2]","[""NOy"", ""N"", ""NO"", ""NO2"", ""NO3"", ""N2O5"", ""HONO"", ""HONO2"", ""HO2NO2"", ""ClNO2"", ""ClONO2"", ""BrONO2"", ""BrONO"", ""ClOy"", ""Cl"", ""Cl2"", ""ClO"", ""ClOO"", ""OClO"", ""Cl2O2"", ""ClNO2"", ""ClONO2"", ""HCl"", ""HOCl"", ""MeOCl"", ""BrCl"", ""BrOy"", ""Br"", ""Br2"", ""BrO"", ""BrONO2"", ""BrONO"", ""HBr"", ""HOBr"", ""BrCl"", ""NOx"", ""N"", ""NO"", ""NO2"", ""NO3"", ""ClOx"", ""Cl"", ""ClO"", ""Cl2O2"", ""BrOx"", ""Br"", ""BrO"", ""HOx"", ""H"", ""OH"", ""HO2"", ""Hy"", ""H2"", ""H2O"", ""CH4""]"
