species_in_total,name
22,NOy
1,N
1,NO
1,NO2
1,NO3
2,N2O5
1,HONO
1,HONO2
1,HO2NO2
1,ClNO2
1,ClONO2
1,BrONO2
1,BrONO
1,MeONO2
1,MeO2NO2
1,N+
1,NO+
1,NO2-
1,NO3-
1,NO2-H2O
1,NO2-H2OH2O
1,NO3-H2O
1,NO3-H2OH2O
12,ClOy
1,Cl
2,Cl2
1,ClO
1,ClOO
1,OClO
2,Cl2O2
1,ClNO2
1,ClONO2
1,HCl
1,HOCl
1,MeOCl
1,BrCl
8,BrOy
1,Br
2,Br2
1,BrO
1,BrONO2
1,BrONO
1,HBr
1,HOBr
1,BrCl
4,NOx
1,N
1,NO
1,NO2
1,NO3
3,ClOx
1,Cl
1,ClO
2,Cl2O2
2,BrOx
1,Br
1,BrO
3,HOx
1,H
1,OH
1,HO2
3,Hy
1,H2
1,H2O
2,CH4
20,n+
1,Ar+
1,O2+
1,N2+
1,CO2+
1,H3O+
1,CO+
1,N+
1,NO+
1,O+
1,H3O+OH
1,CO2+CO2
1,O2+O2
1,H3O+H2O
1,H3O+H2OH2O
1,H3O+3H2O
1,H3O+4H2O
1,O2+CO2
1,O2+CO2CO2
1,O2+H2O
1,O2+H2OH2O
17,n-
1,O-
1,O2-
1,O3-
1,O4-
1,O2-H2O
1,OH-
1,CO3-
1,CO4-
1,CO3-H2O
1,CO3-H2OH2O
1,NO2-
1,NO3-
1,NO2-H2O
1,NO2-H2OH2O
1,NO3-H2O
1,NO3-H2OH2O
1,Cl-
