Wave (nm) Cross       a
 275.9    0.5030E-19  .075
 279.7    0.5880E-19  .082
 283.7    0.7000E-19  -.053
 287.8    0.8150E-19  -.043
 292.0    0.9720E-19  -.031
 296.3    0.1154E-18  -.162
 300.8    0.1344E-18  -.284
 305.3    0.1589E-18  -.357
 310.0    0.1867E-18  -.536
 315.0    0.2153E-18  -.686
 320.0    0.2477E-18  -.786
 325.0    0.2807E-18  -1.105
 330.0    0.3133E-18  -1.355
 335.0    0.3425E-18  -1.277
 340.0    0.3798E-18  -1.612
 345.0    0.4065E-18  -1.890
 350.0    0.4313E-18  -1.219
 355.0    0.4717E-18  -1.921
 360.0    0.4833E-18  -1.095
 365.0    0.5166E-18  -1.322
 370.0    0.5315E-18  -1.102
 375.0    0.5508E-18  -.806
 380.0    0.5644E-18  -.867
 385.0    0.5757E-18  -.945
 390.0    0.5927E-18  -.923
 395.0    0.5845E-18  -.738
 400.0    0.6021E-18  -.599
 405.0    0.5781E-18  -.545
 410.0    0.5999E-18  -1.129
 415.0    0.5651E-18  0.001
 420.0    0.5812E-18  -1.208
