            interval     wavelength (nm)               sigma                 phi
                   1           121.5                  0.                  0.    
                   2           116.7                  0.                  0.    
                   3           117.3                  0.                  0.    
                   4           117.9                  0.                  0.    
                   5           118.7                  0.                  0.    
                   6           119.4                  0.                  0.    
                   7           120.2                  0.                  0.    
                   8           120.8                  0.                  0.    
                   9           121.6                  0.                  0.    
                  10           122.3                  0.                  0.    
                  11           123.1                  0.                  0.    
                  12           123.8                  0.                  0.    
                  13           124.6                  0.                  0.    
                  14           125.4                  0.                  0.    
                  15           126.2                  0.                  0.    
                  16           127.0                  0.                  0.    
                  17           127.8                  0.                  0.    
                  18           128.6                  0.                  0.    
                  19           129.4                  0.                  0.    
                  20           130.3                  0.                  0.    
                  21           131.1                  0.                  0.    
                  22           132.0                  0.                  0.    
                  23           132.9                  0.                  0.    
                  24           133.8                  0.                  0.    
                  25           134.6                  0.                  0.    
                  26           135.6                  0.                  0.    
                  27           136.5                  0.                  0.    
                  28           137.4                  0.                  0.    
                  29           138.4                  0.                  0.    
                  30           139.9                  0.                  0.    
                  31           141.8                  0.                  0.    
                  32           143.9                  0.                  0.    
                  33           145.9                  0.                  0.    
                  34           148.1                  0.                  0.    
                  35           150.4                  0.                  0.    
                  36           152.6                  0.                  0.    
                  37           155.0                  0.                  0.    
                  38           157.4                  0.                  0.    
                  39           160.0                  0.                  0.    
                  40           162.6                  0.                  0.    
                  41           165.3                  0.                  0.    
                  42           168.1                  0.                  0.    
                  43           170.9                  0.                  0.    
                  44           173.1                  0.                  0.    
                  45           174.6                  0.                  0.    
                  46           176.2                  0.                  0.    
                  47           177.8                  0.                  0.    
                  48           179.4                  0.                  0.    
                  49           181.0                  0.                  0.    
                  50           182.7                  0.                  0.    
                  51           184.3                  0.                  0.    
                  52           186.1                  0.                  0.    
                  53           187.8                  0.                  0.    
                  54           189.6                  0.                  0.    
                  55           191.4                  0.                  0.    
                  56           193.2                  0.                  0.    
                  57           195.1                  0.                  0.    
                  58           197.0                  0.                  0.    
                  59           199.0                  0.                  0.    
                  60           201.0                  0.                  0.    
                  61           203.1                  0.                  0.    
                  62           205.1                  0.                  0.    
                  63           207.3                  0.                  0.    
                  64           209.4                  0.                  0.    
                  65           211.6                  0.                  0.    
                  66           213.9                  0.                  0.    
                  67           216.2                  0.                  0.    
                  68           218.6                  0.                  0.    
                  69           221.0                  0.                  0.    
                  70           223.5                  0.                  0.    
                  71           226.0                  0.                  0.    
                  72           228.6                  0.                  0.    
                  73           231.2                  0.              0.5040E-01
                  74           233.9                  0.              0.1640    
                  75           236.7                  0.              0.2810    
                  76           239.5                  0.              0.3990    
                  77           242.4                  0.              0.4300    
                  78           245.4                  0.              0.4420    
                  79           248.5                  0.              0.4540    
                  80           251.6                  0.              0.4630    
                  81           254.8                  0.              0.4700    
                  82           258.1                  0.              0.4760    
                  83           261.4                  0.              0.4770    
                  84           264.9                  0.              0.4700    
                  85           268.5                  0.              0.4630    
                  86           272.1                  0.              0.4370    
                  87           275.9                  0.              0.3950    
                  88           279.7                  0.              0.3530    
                  89           283.7              0.2400E-19          0.3170    
                  90           287.8              0.2400E-19          0.2800    
                  91           292.0              0.3200E-19          0.2520    
                  92           296.3              0.3200E-19          0.2350    
                  93           300.8              0.3300E-19          0.2210    
                  94           305.3              0.3300E-19          0.2250    
                  95           310.0              0.3100E-19          0.2300    
                  96           315.0              0.3100E-19          0.3050    
                  97           320.0              0.2400E-19          0.3800    
                  98           325.0              0.2400E-19          0.5350    
                  99           330.0              0.2400E-19          0.6900    
                 100           335.0              0.2400E-19          0.6900    
                 101           340.0              0.2000E-19          0.6900    
                 102           345.0              0.2000E-19          0.5450    
                 103           350.0              0.8000E-20          0.4000    
                 104           355.0              0.8000E-20          0.2600    
                 105           360.0              0.2000E-20          0.1200    
                 106           365.0              0.2000E-20              0.    
                 107           370.0                  0.                  0.    
                 108           375.0                  0.                  0.    
                 109           380.0                  0.                  0.    
                 110           385.0                  0.                  0.    
                 111           390.0                  0.                  0.    
                 112           395.0                  0.                  0.    
                 113           400.0                  0.                  0.    
                 114           405.0                  0.                  0.    
                 115           410.0                  0.                  0.    
                 116           415.0                  0.                  0.    
                 117           420.0                  0.                  0.    
                 118           425.0                  0.                  0.    
                 119           430.0                  0.                  0.    
                 120           435.0                  0.                  0.    
                 121           440.0                  0.                  0.    
                 122           445.0                  0.                  0.    
                 123           450.0                  0.                  0.    
                 124           455.0                  0.                  0.    
                 125           460.0                  0.                  0.    
