196    430    2.02
198    400    1.73
200    360    1.36
202    320    1.07
204    290    0.86
206    260    0.75
208    230    0.71
210    200    0.75
212    170    0.84
214    140    0.97
216    120    1.12
218    100    1.29
220    90    1.47
222    78    1.64
224    68    1.81
226    59    1.98
228    52    2.14
230    46    2.30
232    40    2.46
234    35    2.63
236    31    2.80
238    28    2.96
240    24    3.11
242    21    3.25
244    19    3.39
246    17    3.52
248    15    3.64
250    13    3.76
252    11    3.87
254    10    3.98
256    8.9    4.10
258    7.8    4.23
260    6.8    4.38
262    6.0    4.53
264    5.2    4.68
266    4.5    4.82
268    3.9    4.97
270    3.4    5.14
272    2.9    5.34
274    2.4    5.55
276    2.1    5.76
278    1.7    5.98
280    1.5    6.20
282    1.2    6.43
284    1.0    6.67
286    0.81    6.90
288    0.65    7.15
290    0.54    7.39
292    0.45    7.63
294    0.37    7.86
296    0.30    8.08
298    0.24    8.27
300    0.19    8.44
302    0.15    8.61
304    0.12    8.76
306    0.10    8.87
308    0.082    9.01
310    0.067    9.13
312    0.054    9.3
314    0.046    9.46
316    0.036    9.57
318    0.030    9.75
320    0.025    10.0
322    0.020    10.2
324    0.017    10.4
326    0.014    10.6
328    0.012    10.7
330    0.011    10.9
332    0.0086    11.2
334    0.0068    11.5
336    0.0061    11.7
338    0.0053    11.9
340    0.0050    12.2
342    0.0036    12.4
344    0.0024    12.5
346    0.0023    0
348    0.0025    0
350    0.0016    0

wavelength/nm	SIGMA(298K) 10^20  B/1E-3 K

where ln SIGMA(T) = ln SIGMA(298K) + B[T-298]
