 int. wave (nm)     cross-section       phi
  160     635.0        8.6405E-22    0.4320
  161     640.0        8.5901E-22    0.4295
  162     645.0        8.5398E-22    0.4270
  163     650.0        8.4894E-22    0.4245
  164     655.0        8.4391E-22    0.4220
  165     660.0        8.3887E-22    0.4194
  166     665.0        8.3384E-22    0.4169
  167     670.0        8.2880E-22    0.4144
  168     675.0        8.2377E-22    0.4119
  169     680.0        8.1873E-22    0.4094
  170     685.0        8.1370E-22    0.4068
  171     690.0        8.0866E-22    0.4043
  172     695.0        8.0363E-22    0.4018
  173     700.0        7.9859E-22    0.3993
  174     705.0        7.9355E-22    0.3968
  175     710.0        7.8852E-22    0.3943
  176     715.0        7.8348E-22    0.3917
  177     720.0        7.7845E-22    0.3892
  178     725.0        7.7341E-22    0.3867
  179     730.0        7.6838E-22    0.3842
  180     735.0        7.6334E-22    0.3817
  181     740.0        7.5831E-22    0.3792
  182     745.0        7.5327E-22    0.3766
  183     750.0        7.4824E-22    0.3741
  184     755.0        7.4320E-22    0.3716
  185     760.0        7.3817E-22    0.3691
  186     765.0        7.3313E-22    0.3666
  187     770.0        7.2810E-22    0.3640
  188     775.0        7.2306E-22    0.3615
  189     780.0        7.1803E-22    0.3590
  190     785.0        7.1299E-22    0.3565
  191     790.0        7.0796E-22    0.3540
  192     795.0        7.0292E-22    0.3515
  193     800.0        6.9789E-22    0.3489
  194     805.0        6.9285E-22    0.3464
  195     810.0        6.8781E-22    0.3439
  196     815.0        6.8278E-22    0.3414
  197     820.0        6.7774E-22    0.3389
  198     825.0        6.7271E-22    0.3364
  199     830.0        6.6767E-22    0.3338
  200     835.0        6.6264E-22    0.3313
  201     840.0        6.5760E-22    0.3288
  202     845.0        6.5257E-22    0.3263
  203     850.0        6.4753E-22    0.3238
