idx,Source,Reactants,,Products,,,,Product Stoich,,,,a1,a2,a3,a4,a5,contains_OH,contains_HONO2,contains_CO,all_reactants_HO2
R294,MP,O-,O3,O3-,O,,,1,1,,,5.30E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R295,MP,O-,N,NO,e,,,1,1,,,2.20E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R296,MP,O-,H2,OH-,H,,,1,1,,,3.30E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R297,FF,O-,H2O,OH-,OH,,,1,1,,,6.00E-12,0,0,0,0,TRUE,FALSE,FALSE,FALSE
R298,MP,O-,NO2,NO2-,O,,,1,1,,,1.20E-09,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R299,MP,O-,NO2,O2-,NO,,,1,1,,,1.80E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R300,MP,O-,N2O,NO-,NO,,,1,1,,,2.00E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R301,MP,O-,CH4,OH-,CH3,,,1,1,,,1.00E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R302,MP,NO2-,O3,NO3-,O2,,,1,1,,,1.80E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R303,MP,NO2-,NO2,NO3-,O2,,,1,1,,,4.00E-12,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R304,MP,NO2-,H,OH-,NO,,,1,1,,,3.00E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R305,MP,OH-,NO2,NO2-,OH,,,1,1,,,1.20E-09,0,0,0,0,TRUE,FALSE,FALSE,FALSE
R306,MP,OH-,O,HO2,e,,,1,1,,,3.00E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R307,MP,OH-,H,H2O,e,,,1,1,,,3.00E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R309,IH,N2,e,N2+,e,,,1,2,,,N2_Ion,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R310,IH,N2,e,N,e,,,2,1,,,N2_Dis,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R311,IH,N2,e,N+,N,e,,1,1,2,,N2_DisIon,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R312,ZN,N4+,O,O+,N2,,,1,2,,,3.00E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R313,ZN,N4+,O2,O2+,N2,,,1,2,,,2.50E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R314,MP,N4+,H2O,H2O+,N2,,,1,2,,,1.90E-09,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R316,MP,N2+,H2O,H2O+,N2,,,1,1,,,1.00E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R318,MP,N2+,O,O+,N2,,,1,1,,,1.40E-10,-0.44,0,0,0,FALSE,FALSE,FALSE,FALSE
R319,MP,N2+,O,NO+,N,,,1,1,,,1.40E-10,-0.44,0,0,0,FALSE,FALSE,FALSE,FALSE
R320,MP,N2+,N,N+,N2,,,1,1,,,1.00E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R321,MP,N2+,NO,NO+,N2,,,1,1,,,3.30E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R322,H4,N2+,N2O,NO+,N2,N,,1,1,,,3.90E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R323,H4,N2+,N2O,N2O+,N2,,,1,1,,,7.00E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R324,MP,N2+,CO,CO+,N2,,,1,1,,,7.00E-11,0,0,0,0,FALSE,FALSE,TRUE,FALSE
R325,MP,N2+,CO2,CO2+,N2,,,1,1,,,9.00E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R326,LT,N2+,O2,NO,NO+,,,1,1,,,1.00E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R327,ZN,N+,O2,O2+,N,,,1,1,,,2.80E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R328,ZN,N+,O2,O2+,N(2D),,,1,1,,,8.40E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R329,MP,N+,O2,NO+,O,,,1,1,,,5.00E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R330,MP,N+,O2,NO+,O(1D),,,1,1,,,2.00E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R331,MP,N+,O2,O+,NO,,,1,1,,,2.80E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R332,MP,N+,CO,CO+,N,,,1,1,,,5.00E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R333,MP,N+,CO2,CO2+,N,,,1,1,,,1.30E-09,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R334,H4,N+,N2O,NO+,N2,,,1,1,,,2.80E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R335,LT,N+,NO,NO+,N,,,1,1,,,1.00E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R336,LT,N+,NO,N2+,O,,,1,1,,,1.00E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R337,LT,N+,NO,N2,O+,,,1,1,,,1.00E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R338,ZN,NO,e,NO+,e,,,1,2,,,1.00E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R339,ZN,NO+,H2O,H2O+,NO,,,1,1,,,1.00E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R340,ZN,H2O+,O2,O2+,H2O,,,1,1,,,2.00E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R341,ZN,H2O+,H2O,H3O+,OH,,,1,1,,,1.80E-09,0,0,0,0,TRUE,FALSE,FALSE,FALSE
R346,ZN,W2H3O+,N2,WH3O+,H2O,N2,,1,1,1,,6.44E-01,-1.6,0,0,-11220,FALSE,FALSE,FALSE,FALSE
R347,ZN,W2H3O+,e,H,H2O,,,1,3,,,3.00E-06,-0.1,0,0,0,FALSE,FALSE,FALSE,FALSE
R348,ZN,WH3O+,e,H,H2O,,,1,2,,,2.50E-06,-0.1,0,0,0,FALSE,FALSE,FALSE,FALSE
R349,ZN,N2O2+,{M},O2+,N2,{M},,1,1,1,,1.10E-06,-5.3,0,0,-2357,FALSE,FALSE,FALSE,FALSE
R350,ZN,N2O2+,O2,O4+,N2,,,1,1,,,1.00E-09,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R351,ZN,N2O2+,H2O,WO2+,N2,,,1,1,,,4.00E-09,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R352,ZN,WO2+,O2,O2+,H2O,O2,,1,1,1,,1.00E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R353,ZN,WO2+,H2,H3O+,HO2,,,1,1,,,3.00E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R354,ZN,WO2+,H,H3O+,O2,,,1,1,,,1.00E-09,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R355,ZN,WO2+,e,O,H2O,,,2,1,,,1.50E-06,0.2,0,0,0,FALSE,FALSE,FALSE,FALSE
R356,ZN,WO2+,H2O,H3O+,O2,OH,,1,1,1,,8.63E-06,0,0,0,-4400,TRUE,FALSE,FALSE,FALSE
R357,ZN,WO2+,H2O,OHH3O+,O2,,,1,1,,,1.87E-09,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R358,ZN,OHH3O+,H2O,WH3O+,OH,,,1,1,,,1.40E-07,0,0,0,0,TRUE,FALSE,FALSE,FALSE
R359,ZN,OHH3O+,NO,NO+,H2O,,,1,2,,,3.00E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R360,ZN,OHH3O+,e,H2O,H,OH,,1,1,1,,2.00E-06,-0.2,0,0,0,TRUE,FALSE,FALSE,FALSE
R362,ZN,N2NO+,{M},NO+,N2,{M},,1,1,1,,1.83E-07,-8.1,0,0,-2558,FALSE,FALSE,FALSE,FALSE
R363,ZN,N2NO+,H2O,WNO+,N2,,,1,1,,,1.00E-09,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R364,ZN,N2NO+,CO2,NOCO2+,N2,,,1,1,,,1.00E-09,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R365,ZN,NOCO2+,H2O,WNO+,CO2,,,1,1,,,1.00E-09,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R366,ZN,NOCO2+,N2,N2NO+,CO2,,,1,1,,,3.03E-09,-1.3,0,0,-2338,FALSE,FALSE,FALSE,FALSE
R367,ZN,NOCO2+,{M},NO+,CO2,{M},,1,1,1,,1.44E-05,-11,0,0,-4896,FALSE,FALSE,FALSE,FALSE
R371,ZN,W3NO+,{M},W2NO+,H2O,{M},,1,1,1,,7.41E-01,-4.3,0,0,-8025,FALSE,FALSE,FALSE,FALSE
R372,ZN,W3NO+,H2O,W2H3O+,HONO,,,1,1,,,7.00E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R373,ZN,W3NO+,e,NO,H2O,,,1,3,,,3.00E-06,-0.2,0,0,0,FALSE,FALSE,FALSE,FALSE
R374,ZN,W2NO+,e,NO,H2O,,,1,2,,,3.00E-06,-0.2,0,0,0,FALSE,FALSE,FALSE,FALSE
R375,ZN,WNO+,e,NO,H2O,,,1,1,,,1.50E-06,-0.2,0,0,0,FALSE,FALSE,FALSE,FALSE
R376,ZN,WNO+,OH,H3O+,NO2,,,1,1,,,6.00E-11,0,0,0,0,TRUE,FALSE,FALSE,FALSE
R554,NB,CH4,O(1D),CH2O,H2,,,1,1,,,1.40E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R555,NB,CH4,O(1D),CH3,OH,,,1,1,,,1.40E-10,0,0,0,0,TRUE,FALSE,FALSE,FALSE
R556,NB,CH4,OH,CH3,H2O,,,1,1,,,3.40E-13,2.317,0,0,-1130,TRUE,FALSE,FALSE,FALSE
R557,NB,CH4,HO2,CH3,H2O2,,,1,1,,,1.22E-11,0,0,0,-10321.5,FALSE,FALSE,FALSE,FALSE
R558,NB,CH4,NO2,CH3,HONO,,,1,1,,,2.96E-12,0,0,0,-14354.2,FALSE,FALSE,FALSE,FALSE
R559,NB,CH4,O,CH3,OH,,,1,1,,,4.57E-12,1.782,0,0,-3982.3,TRUE,FALSE,FALSE,FALSE
R560,NB,CH4,O,CH2,H2O,,,1,1,,,5.50E-12,0,0,0,-3372,FALSE,FALSE,FALSE,FALSE
R561,NB,CH4,H,CH3,H2,,,1,1,,,5.01E-12,3.053,0,0,-3995.9,FALSE,FALSE,FALSE,FALSE
R562,NB,CH4,O2,CH3,HO2,,,1,1,,,5.25E-10,0,0,0,-28508.8,FALSE,FALSE,FALSE,FALSE
R563,NB,CH3,O2,CH3O,O,,,1,1,,,7.06E-11,0,0,0,-15367.5,FALSE,FALSE,FALSE,FALSE
R564,NB,CH3,O2,CH2O,OH,,,1,1,,,9.08E-20,6.429,0,0,3122.4,TRUE,FALSE,FALSE,FALSE
R565,NB,CH3,O3,CH3O2,O,,,1,1,,,5.65E-12,0,0,0,-315,FALSE,FALSE,FALSE,FALSE
R566,NB,CH3,H2,CH4,H,,,1,1,,,7.39E-15,3.527,0,0,-3775.3,FALSE,FALSE,FALSE,FALSE
R567,NB,CH3,HO2,CH3O,OH,,,1,1,,,3.30E-11,0,0,0,0,TRUE,FALSE,FALSE,FALSE
R568,NB,CH3,HO2,CH4,O2,,,1,1,,,6.00E-12,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R569,NB,CH3,H2O,CH4,OH,,,1,1,,,1.20E-14,2.9,0,0,-7480,TRUE,FALSE,FALSE,FALSE
R570,NB,CH3,H2O2,CH4,HO2,,,1,1,,,2.00E-14,0,0,0,300,FALSE,FALSE,FALSE,FALSE
R571,NB,CH3,NO2,CH3O,NO,,,1,1,,,2.06E-11,0,0,0,56.9,FALSE,FALSE,FALSE,FALSE
R572,NB,CH3,N2O,CH3O,N2,,,1,1,,,2.32E-17,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R573,NB,CH3,O,CH2O,H,,,1,1,,,1.22E-10,0,0,0,-37.4,FALSE,FALSE,FALSE,FALSE
R574,NB,CH3,CH3O2,CH3O,,,,2,,,,4.00E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R575,NB,CH3O,,CH2OH,,,,1,,,,2.65E+04,0,0,0,-4433.4,FALSE,FALSE,FALSE,FALSE
R576,NB,CH3O,H,CH2O,H2,,,1,1,,,3.31E-11,0,0,0,0.4,FALSE,FALSE,FALSE,FALSE
R577,NB,CH3O,OH,CH2O,H2O,,,1,1,,,3.00E-11,0,0,0,0,TRUE,FALSE,FALSE,FALSE
R578,NB,CH3O,HO2,CH2O,H2O2,,,1,1,,,5.00E-13,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R579,NB,CH3O,NO,CH2O,HNO,,,1,1,,,5.01E-12,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R580,NB,CH3O,NO2,CH2O,HONO,,,1,1,,,8.32E-13,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R581,NB,CH3O,O,CH2O,OH,,,1,1,,,1.00E-11,0,0,0,0,TRUE,FALSE,FALSE,FALSE
R582,NB,CH3O,O2,CH2O,HO2,,,1,1,,,8.61E-14,0,0,0,-1117.4,FALSE,FALSE,FALSE,FALSE
R583,NB,CH3O,CH3O2,CH2O,CH3OOH,,,1,1,,,5.00E-13,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R584,NB,CH3O,CO,CH3,CO2,,,1,1,,,2.61E-11,0,0,0,-5938.3,FALSE,FALSE,TRUE,FALSE
R585,A9,CH3O,NO,CH3ONO,,,,1,,,,2.00E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R586,A9,CH3O,NO2,CH3ONO2,,,,1,,,,1.20E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R587,NB,CH3O2,{M},CH3,O2,{M},,1,1,1,,2.02E+00,-10.02,0,0,-16731,FALSE,FALSE,FALSE,FALSE
R588,NB,CH3O2,OH,CH3OH,O2,,,1,1,,,1.00E-10,0,0,0,0,TRUE,FALSE,FALSE,FALSE
R589,NB,CH3O2,HO2,O2,CH3OOH,,,1,1,,,7.65E-14,0,0,0,1298.7,FALSE,FALSE,FALSE,FALSE
R590,NB,CH3O2,H2O2,HO2,CH3OOH,,,1,1,,,4.00E-12,0,0,0,-5000,FALSE,FALSE,FALSE,FALSE
R591,NB,CH3O2,H,CH3O,OH,,,1,1,,,1.60E-10,0,0,0,0,TRUE,FALSE,FALSE,FALSE
R592,NB,CH3O2,NO,CH3O,NO2,,,1,1,,,1.00E-11,-1.503,0,0,-95.1,FALSE,FALSE,FALSE,FALSE
R593,NB,CH3O2,O,CH3O,O2,,,1,1,,,7.03E-11,0,0,0,1.9,FALSE,FALSE,FALSE,FALSE
R594,NB,CH3O2,CH2O,CHO,CH3OOH,,,1,1,,,3.30E-12,0,0,0,-5870.2,FALSE,FALSE,FALSE,FALSE
R595,NB,CH3O2,CH3OH,CH2OH,CH3OOH,,,1,1,,,3.00E-12,0,0,0,-6900,FALSE,FALSE,FALSE,FALSE
R596,NB,CH3O2,H2,CH3OOH,H,,,1,1,,,5.00E-11,0,0,0,-13100,FALSE,FALSE,FALSE,FALSE
R597,NB,CH3O2,CH3O2,CH3O,O2,,,2,1,,,2.37E-13,0,0,0,169.3,FALSE,FALSE,FALSE,FALSE
R598,NB,CH3O2,NO3,NO2,CH3O,O2,,1,1,1,,2.30E-12,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R599,NB,CH3OH,NO3,HONO2,CH2OH,,,1,1,,,1.25E-12,0,0,0,-2562,FALSE,TRUE,FALSE,FALSE
R600,A6,CH3OH,OH,CH3O,H2O,,,1,1,,,1.70E-12,0,0,0,-806,TRUE,FALSE,FALSE,FALSE
R601,A6,CH3OH,OH,CH2OH,H2O,,,1,1,,,9.80E-12,0,0,0,-806,TRUE,FALSE,FALSE,FALSE
R602,NB,CH3ONO,,CH2O,HNO,,,1,1,,,3.14E+11,0,0,0,-17329.6,FALSE,FALSE,FALSE,FALSE
R603,NB,CH3OO,H,CH3OH,NO,,,1,1,,,2.02E-13,0,0,0,-956,FALSE,FALSE,FALSE,FALSE
R604,NB,CH3ONO,O3,CH3ONO2,O2,,,1,1,,,6.76E-13,0,0,0,-5315,FALSE,FALSE,FALSE,FALSE
R605,NB,CH3OOH,H,CH3O,H2O,,,1,1,,,2.80E-13,0,0,0,-946,FALSE,FALSE,FALSE,FALSE
R606,NB,CH3OOH,H,H2,CH3O2,,,1,1,,,2.80E-13,0,0,0,-946,FALSE,FALSE,FALSE,FALSE
R607,NB,CH3OOH,OH,CH2OOH,H2O,,,1,1,,,1.00E-11,0,0,0,0,TRUE,FALSE,FALSE,FALSE
R608,NB,CH2OOH,,CH2O,OH,,,1,1,,,5.00E+04,0,0,0,0,TRUE,FALSE,FALSE,FALSE
R609,NB,CH3OOH,OH,CH3O2,H2O,,,1,1,,,5.90E-12,0,0,0,0,TRUE,FALSE,FALSE,FALSE
R610,NB,CH3OOH,OH,CH2O,H2O,OH,,1,1,1,,2.90E-12,0,0,0,-188,TRUE,FALSE,FALSE,FALSE
R611,A9,CH3ONO2,,CH3O,NO2,,,1,1,,,1.70E+17,0,0,0,-20125,FALSE,FALSE,FALSE,FALSE
R612,NB,CH2,CO2,CH2O,CO,,,1,1,,,3.90E-14,0,0,0,0,FALSE,FALSE,TRUE,FALSE
R613,NB,CH2,O,CHO,H,,,1,1,,,5.01E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R614,NB,CH2,H2O,CH3,OH,,,1,1,,,1.60E-16,0,0,0,0,TRUE,FALSE,FALSE,FALSE
R615,NB,CH2,H2,CH3,H,,,1,1,,,5.00E-15,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R616,NB,CH2,OH,CH2O,H,,,1,1,,,3.00E-11,0,0,0,0,TRUE,FALSE,FALSE,FALSE
R617,NB,CH2,H,CH,H2,,,1,1,,,2.72E-10,0,0,0,-205.7,FALSE,FALSE,FALSE,FALSE
R618,NB,CH2,CO,CH2CO,,,,1,,,,1.00E-15,0,0,0,0,FALSE,FALSE,TRUE,FALSE
R619,NB,CH2,O2,CO,H2O,,,1,1,,,4.00E-13,0,0,0,0,FALSE,FALSE,TRUE,FALSE
R620,NB,CH2,O2,H,CO2,,,2,1,,,9.96E-12,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R621,NB,CH2,O2,CH2O,O,,,1,1,,,9.96E-12,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R622,NB,CH2,NO,CO,NH2,,,1,1,,,2.50E-10,0,0,0,0,FALSE,FALSE,TRUE,FALSE
R623,NB,CH2,H2O,CH2OH,H,,,1,1,,,9.49E-12,0,0,0,380,FALSE,FALSE,FALSE,FALSE
R624,NB,CH2,CH3OH,CH3,CH2OH,,,1,1,,,5.30E-23,3.2,0,0,-3609,FALSE,FALSE,FALSE,FALSE
R625,NB,CH2,CH3OH,CH3,CH3O,,,1,1,,,2.40E-23,3.1,0,0,-3490,FALSE,FALSE,FALSE,FALSE
R626,NB,CH2,CH3O2,CH2O,CH3O,,,1,1,,,3.00E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R627,NB,CH2O,{M},CO,H2,{M},,1,1,1,,7.50E-09,0,0,0,-17762.7,FALSE,FALSE,TRUE,FALSE
R628,NB,CH2O,O2,CHO,HO2,,,1,1,,,2.98E-11,0,0,0,-19583.7,FALSE,FALSE,FALSE,FALSE
R629,NB,CH2O,O,CHO,OH,,,1,1,,,6.79E-11,0,0,0,-1778.7,TRUE,FALSE,FALSE,FALSE
R630,NB,CH2O,HO2,CH2OH,O2,,,1,1,,,5.63E-12,0,0,0,-9622,FALSE,FALSE,FALSE,FALSE
R631,NB,CH2O,HO2,CHO,H2O2,,,1,1,,,4.15E-12,0,0,0,-5899.7,FALSE,FALSE,FALSE,FALSE
R632,NB,CH2O,H,CHO,H2,,,1,1,,,5.24E-12,1.875,0,0,-1390.1,FALSE,FALSE,FALSE,FALSE
R633,NB,CH2O,OH,CHO,H2O,,,1,1,,,4.10E-12,1.251,0,0,268.6,TRUE,FALSE,FALSE,FALSE
R635,D7,CH2OH,O2,CH2O,HO2,,,1,1,,,9.60E-12,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R636,NB,O,CH2CO,CH2O,CO,,,1,1,,,0.5*3.875E-12,0,0,0,-649.1,FALSE,FALSE,TRUE,FALSE
R637,NB,O,CH2CO,CH2,CO2,,,1,1,,,0.5*3.875E-12,0,0,0,-649.1,FALSE,FALSE,FALSE,FALSE
R638,NB,OH,CH2CO,CHO,CH2O,,,1,1,,,4.65E-11,0,0,0,0,TRUE,FALSE,FALSE,FALSE
R639,NB,H,CH2CO,CH3,CO,,,1,1,,,5.70E-11,0,0,0,-1916,FALSE,FALSE,TRUE,FALSE
R640,A9,CHO,O2,CO,HO2,,,1,1,,,3.50E-12,0,0,0,140,FALSE,FALSE,TRUE,FALSE
R641,NB,CHO,O,CO2,H,,,1,1,,,4.99E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R642,NB,CHO,O,CO,OH,,,1,1,,,4.99E-11,0,0,0,0,TRUE,FALSE,TRUE,FALSE
R643,NB,CHO,OH,CO,H2O,,,1,1,,,5.00E-11,0,0,0,0,TRUE,FALSE,TRUE,FALSE
R644,NB,CHO,H,CO,H2,,,1,1,,,1.80E-10,0,0,0,-37.9,FALSE,FALSE,TRUE,FALSE
R645,NB,CHO,H,CH2O,,,,1,,,,7.77E-14,0,0,0,2285,FALSE,FALSE,FALSE,FALSE
R646,NB,CHO,H2O,CH2O,OH,,,1,1,,,1.79E-11,0,0,0,-14121.8,TRUE,FALSE,FALSE,FALSE
R647,NB,CHO,H2O2,CH2O,HO2,,,1,1,,,1.70E-13,0,0,0,-3486,FALSE,FALSE,FALSE,FALSE
R648,NB,CHO,H2,CH2O,H,,,1,1,,,2.66E-13,2,0,0,-8972,FALSE,FALSE,FALSE,FALSE
R649,NB,CHO,{M},CO,H,{M},,1,1,1,,3.81E-10,0,0,0,-8688.8,FALSE,FALSE,FALSE,FALSE
R650,NB,CHO,CHO,CH2O,CO,,,1,1,,,3.05E-11,0,0,0,16.4,FALSE,FALSE,FALSE,FALSE
R651,NB,CHO,CH2,CH3,CO,,,1,1,,,3.00E-11,0,0,0,0,FALSE,FALSE,TRUE,FALSE
R652,NB,CHO,CH3,CH4,CO,,,1,1,,,2.00E-10,0,0,0,0,FALSE,FALSE,TRUE,FALSE
R653,NB,CHO,CH2OH,CH3OH,CO,,,1,1,,,2.00E-10,0,0,0,0,FALSE,FALSE,TRUE,FALSE
R654,NB,CHO,CH2OH,CH2O,,,,2,,,,3.00E-10,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R655,NB,CHO,CH3O,CH3OH,CO,,,1,1,,,1.50E-10,0,0,0,0,FALSE,FALSE,TRUE,FALSE
R656,NB,CHO,CH4,CH2O,CH3,,,1,1,,,1.36E-13,2.85,0,0,-11330,FALSE,FALSE,FALSE,FALSE
R657,NB,CHO,CH3OH,CH2O,CH2OH,,,1,1,,,2.40E-13,2.9,0,0,-6596,FALSE,FALSE,FALSE,FALSE
R658,NB,CHO,NO,CO,HNO,,,1,1,,,8.61E-12,0,0,0,86.7,FALSE,FALSE,TRUE,FALSE
R659,NB,CO,OH,CO2,H,,,1,1,,,1.53E-14,1.898,0,0,716.5,TRUE,FALSE,TRUE,FALSE
R660,NB,CO,HO2,CO2,OH,,,1,1,,,7.11E-10,0,0,0,-12218.2,TRUE,FALSE,TRUE,FALSE
R661,NB,CO2,CH,CHO,CO,,,1,1,,,5.53E-12,0,0,0,-324.1,FALSE,FALSE,TRUE,FALSE
R662,NB,CH,H2O,CH2OH,,,,1,,,,9.49E-12,0,0,0,380,FALSE,FALSE,FALSE,FALSE
R663,NB,CH,H2,CH2,H,,,1,1,,,1.29E-11,1.849,0,0,-807.7,FALSE,FALSE,FALSE,FALSE
R664,NB,CH,O,CO,H,,,1,1,,,7.11E-11,0,0,0,0,FALSE,FALSE,TRUE,FALSE
R665,NB,CH,O2,CO,OH,,,1,1,,,3.30E-11,0,0,0,0,TRUE,FALSE,TRUE,FALSE
R666,NB,CH,NO,CO,NH,,,1,1,,,2.50E-10,0,0,0,0,FALSE,FALSE,TRUE,FALSE
R667,NB,CH,N2O,CHO,N2,,,1,1,,,6.91E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
