idx,Source,Reactants,,Products,,,,Product Stoich,,,,a1,a2,a3,a4,a5,contains_OH,contains_HONO2,contains_CO,all_reactants_HO2
R65,NB,H,HO2NO2,H2O2,NO2,,,1,1,,,2.46E-14,0,0,0,0,FALSE,TRUE,FALSE,FALSE
R66,NB,OH,HO2NO2,H2O,NO2,O2,,1,1,1,,1.20E-12,0,0,0,335.6,TRUE,TRUE,FALSE,FALSE
R67,NB,O,HO2NO2,OH,NO2,O2,,1,1,1,,7.65E-11,0,0,0,-3393.7,TRUE,TRUE,FALSE,FALSE
R68,NB,OH,HONO,H2O,NO2,,,1,1,,,1.80E-11,0,0,0,-390,TRUE,FALSE,FALSE,FALSE
R69,NB,HO2,NO,HNO,O2,,,1,1,,,9.10E-19,0,0,0,2819,FALSE,FALSE,FALSE,FALSE
R70,NB,HNO,O2,NO,HO2,,,1,1,,,5.25E-12,0,0,0,-1510,FALSE,FALSE,FALSE,FALSE
R71,NB,HNO,O,NO,OH,,,1,1,,,2.00E-11,0,0,0,0,TRUE,FALSE,FALSE,FALSE
R72,NB,HNO,CH3O,NO,CH3OH,,,1,1,,,5.25E-11,0,0,0,0,FALSE,FALSE,FALSE,FALSE
R73,NB,HNO,HNO,N2O,H2O,,,1,1,,,7.06E-20,0,0,0,3262,FALSE,FALSE,FALSE,FALSE
R74,B7,HNO,H,H2,NO,,,1,1,,,3.07E-12,0,0,0,451,FALSE,FALSE,FALSE,FALSE
R75,B7,HNO,OH,H2O,NO,,,1,1,,,2.69E-10,0,0,0,-1569,TRUE,FALSE,FALSE,FALSE
R77,B7,HNO,O2,NO,H,O2,,1,1,1,,1.66E-05,0,0,0,-23150,FALSE,FALSE,FALSE,FALSE
R78,B7,HNO,N2,NO,H,N2,,1,1,1,,1.66E-05,0,0,0,-23150,FALSE,FALSE,FALSE,FALSE
R79,B7,HNO,Ar,NO,H,Ar,,1,1,1,,1.66E-05,0,0,0,-23150,FALSE,FALSE,FALSE,FALSE
R80,B7,H2 ,NO,H,HNO,,,1,1,,,5.25E-11,0,0,0,-27778,FALSE,FALSE,FALSE,FALSE
R81,B7,H2O,NO,HNO,OH,,,1,1,,,7.40E-10,0,0,0,-36657,TRUE,FALSE,FALSE,FALSE
R82,B7,HONO,O,HONO2,,,,1,,,,1.00E-15,0,0,0,0,FALSE,TRUE,FALSE,FALSE
R83,B7,H2O,NO3,HONO2,OH,,,1,1,,,2.30E-26,0,0,0,0,TRUE,TRUE,FALSE,FALSE
R84,NB,NH2,O3,HNO,O,OH,,1,1,1,,1.91E-12,0,0,0,-709,TRUE,FALSE,FALSE,FALSE
