   INTERVAL        nm        cm-1  Irradiance
         53     187.8     53248.1   0.598E+12
         54     189.6     52742.6   0.689E+12
         55     191.4     52246.6   0.807E+12
         56     193.2     51759.8   0.781E+12
         57     195.1     51255.8   0.114E+13
         58     197.0     50761.4   0.129E+13
         59     199.0     50251.3   0.138E+13
         60     201.0     49751.2   0.169E+13
         61     203.1     49236.8   0.192E+13
         62     205.1     48756.7   0.207E+13
         63     207.3     48239.3   0.254E+13
         64     209.4     47755.5   0.437E+13
         65     211.6     47259.0   0.712E+13
         66     213.9     46750.8   0.819E+13
         67     216.2     46253.5   0.791E+13
         68     218.6     45745.7   0.106E+14
         69     221.0     45248.9   0.111E+14
         70     223.5     44742.7   0.152E+14
         71     226.0     44247.8   0.126E+14
         72     228.6     43744.5   0.131E+14
         73     231.2     43252.6   0.149E+14
         74     233.9     42753.3   0.126E+14
         75     236.7     42247.6   0.151E+14
         76     239.5     41753.7   0.133E+14
         77     242.4     41254.1   0.204E+14
         78     245.4     40749.8   0.199E+14
         79     248.5     40241.4   0.197E+14
         80     251.6     39745.6   0.194E+14
         81     254.8     39246.5   0.291E+14
         82     258.1     38744.7   0.495E+14
         83     261.4     38255.5   0.453E+14
         84     264.9     37750.1   0.107E+15
         85     268.5     37243.9   0.120E+15
         86     272.1     36751.2   0.110E+15
         87     275.9     36245.0   0.104E+15
         88     279.7     35752.6   0.824E+14
         89     283.7     35248.5   0.152E+15
         90     287.8     34746.4   0.215E+15
         91     292.0     34246.6   0.348E+15
         92     296.3     33749.6   0.340E+15
         93     300.8     33244.7   0.355E+15
         94     305.3     32754.7   0.468E+15
         95     310.0     32258.1   0.495E+15
         96     315.0     31746.0   0.583E+15
         97     320.0     31250.0   0.622E+15
         98     325.0     30769.2   0.695E+15
         99     330.0     30303.0   0.815E+15
        100     335.0     29850.7   0.781E+15
        101     340.0     29411.8   0.835E+15
        102     345.0     28985.5   0.814E+15
        103     350.0     28571.4   0.853E+15
        104     355.0     28169.0   0.917E+15
        105     360.0     27777.8   0.838E+15
        106     365.0     27397.3   0.104E+16
        107     370.0     27027.0   0.110E+16
        108     375.0     26666.7   0.979E+15
        109     380.0     26315.8   0.113E+16
        110     385.0     25974.0   0.889E+15
        111     390.0     25641.0   0.114E+16
        112     395.0     25316.5   0.917E+15
        113     400.0     25000.0   0.169E+16
        114     405.0     24691.4   0.170E+16
        115     410.0     24390.2   0.184E+16
        116     415.0     24096.4   0.187E+16
        117     420.0     23809.5   0.195E+16
        118     425.0     23529.4   0.181E+16
        119     430.0     23255.8   0.167E+16
        120     435.0     22988.5   0.198E+16
        121     440.0     22727.3   0.202E+16
        122     445.0     22471.9   0.218E+16
        123     450.0     22222.2   0.236E+16
        124     455.0     21978.0   0.231E+16
        125     460.0     21739.1   0.239E+16
        126     465.0     21505.4   0.238E+16
        127     470.0     21276.6   0.239E+16
        128     475.0     21052.6   0.244E+16
        129     480.0     20833.3   0.251E+16
        130     485.0     20618.6   0.230E+16
        131     490.0     20408.2   0.239E+16
        132     495.0     20202.0   0.248E+16
        133     500.0     20000.0   0.240E+16
        134     505.0     19802.0   0.246E+16
        135     510.0     19607.8   0.249E+16
        136     515.0     19417.5   0.232E+16
        137     520.0     19230.8   0.239E+16
        138     525.0     19047.6   0.242E+16
        139     530.0     18867.9   0.255E+16
        140     535.0     18691.6   0.251E+16
        141     540.0     18518.5   0.249E+16
        142     545.0     18348.6   0.255E+16
        143     550.0     18181.8   0.253E+16
        144     555.0     18018.0   0.254E+16
        145     560.0     17857.1   0.250E+16
        146     565.0     17699.1   0.257E+16
        147     570.0     17543.9   0.258E+16
        148     575.0     17391.3   0.267E+16
        149     580.0     17241.4   0.267E+16
        150     585.0     17094.0   0.270E+16
        151     590.0     16949.2   0.262E+16
        152     595.0     16806.7   0.269E+16
        153     600.0     16666.7   0.263E+16
        154     605.0     16528.9   0.268E+16
        155     610.0     16393.4   0.266E+16
        156     615.0     16260.2   0.259E+16
        157     620.0     16129.0   0.269E+16
        158     625.0     16000.0   0.261E+16
        159     630.0     15873.0   0.262E+16
        160     635.0     15748.0   0.262E+16
        161     640.0     15625.0   0.263E+16
        162     645.0     15503.9   0.260E+16
        163     650.0     15384.6   0.255E+16
        164     655.0     15267.2   0.248E+16
        165     660.0     15151.5   0.257E+16
        166     665.0     15037.6   0.261E+16
        167     670.0     14925.4   0.261E+16
        168     675.0     14814.8   0.262E+16
        169     680.0     14705.9   0.262E+16
        170     685.0     14598.5   0.257E+16
        171     690.0     14492.8   0.252E+16
        172     695.0     14388.5   0.260E+16
        173     700.0     14285.7   0.258E+16
        174     705.0     14184.4   0.252E+16
        175     710.0     14084.5   0.251E+16
        176     715.0     13986.0   0.248E+16
        177     720.0     13888.9   0.245E+16
        178     725.0     13793.1   0.248E+16
        179     730.0     13698.6   0.245E+16
        180     735.0     13605.4   0.244E+16
        181     740.0     13513.5   0.239E+16
        182     745.0     13422.8   0.240E+16
        183     750.0     13333.3   0.241E+16
        184     755.0     13245.0   0.240E+16
        185     760.0     13157.9   0.238E+16
        186     765.0     13071.9   0.234E+16
        187     770.0     12987.0   0.232E+16
        188     775.0     12903.2   0.230E+16
        189     780.0     12820.5   0.233E+16
        190     785.0     12738.9   0.234E+16
        191     790.0     12658.2   0.229E+16
        192     795.0     12578.6   0.229E+16
        193     800.0     12500.0   0.227E+16
        194     805.0     12422.4   0.227E+16
        195     810.0     12345.7   0.220E+16
        196     815.0     12269.9   0.222E+16
