   Interval Wave (nm)          AO2          AO3
        119     430.0    0.000E+00    0.680E-22
        120     435.0    0.000E+00    0.870E-22
        121     440.0    0.000E+00    0.130E-21
        122     445.0    0.000E+00    0.150E-21
        123     450.0    0.000E+00    0.170E-21
        124     455.0    0.000E+00    0.210E-21
        125     460.0    0.000E+00    0.360E-21
        126     465.0    0.000E+00    0.370E-21
        127     470.0    0.000E+00    0.410E-21
        128     475.0    0.000E+00    0.490E-21
        129     480.0    0.000E+00    0.710E-21
        130     485.0    0.000E+00    0.840E-21
        131     490.0    0.000E+00    0.830E-21
        132     495.0    0.000E+00    0.910E-21
        133     500.0    0.000E+00    0.120E-20
        134     505.0    0.000E+00    0.160E-20
        135     510.0    0.000E+00    0.160E-20
        136     515.0    0.000E+00    0.160E-20
        137     520.0    0.000E+00    0.180E-20
        138     525.0    0.000E+00    0.210E-20
        139     530.0    0.000E+00    0.260E-20
        140     535.0    0.000E+00    0.270E-20
        141     540.0    0.000E+00    0.290E-20
        142     545.0    0.000E+00    0.310E-20
        143     550.0    0.000E+00    0.320E-20
        144     555.0    0.000E+00    0.340E-20
        145     560.0    0.000E+00    0.390E-20
        146     565.0    0.000E+00    0.430E-20
        147     570.0    0.000E+00    0.470E-20
        148     575.0    0.000E+00    0.480E-20
        149     580.0    0.000E+00    0.460E-20
        150     585.0    0.000E+00    0.440E-20
        151     590.0    0.000E+00    0.440E-20
        152     595.0    0.000E+00    0.460E-20
        153     600.0    0.000E+00    0.490E-20
        154     605.0    0.000E+00    0.480E-20
        155     610.0    0.000E+00    0.450E-20
        156     615.0    0.000E+00    0.420E-20
        157     620.0    0.000E+00    0.390E-20
        158     625.0    0.000E+00    0.360E-20
        159     630.0    0.000E+00    0.340E-20
        160     635.0    0.000E+00    0.320E-20
        161     640.0    0.000E+00    0.270E-20
        162     645.0    0.000E+00    0.260E-20
        163     650.0    0.000E+00    0.240E-20
        164     655.0    0.000E+00    0.220E-20
        165     660.0    0.000E+00    0.200E-20
        166     665.0    0.000E+00    0.190E-20
        167     670.0    0.000E+00    0.170E-20
        168     675.0    0.000E+00    0.150E-20
        169     680.0    0.000E+00    0.140E-20
        170     685.0    0.000E+00    0.130E-20
        171     690.0    0.000E+00    0.110E-20
        172     695.0    0.000E+00    0.100E-20
        173     700.0    0.000E+00    0.920E-21
        174     705.0    0.000E+00    0.840E-21
        175     710.0    0.000E+00    0.770E-21
        176     715.0    0.000E+00    0.690E-21
        177     720.0    0.000E+00    0.630E-21
        178     725.0    0.000E+00    0.570E-21
        179     730.0    0.000E+00    0.530E-21
        180     735.0    0.000E+00    0.480E-21
        181     740.0    0.000E+00    0.450E-21
        182     745.0    0.000E+00    0.420E-21
        183     750.0    0.000E+00    0.380E-21
        184     755.0    0.000E+00    0.330E-21
        185     760.0    0.000E+00    0.290E-21
        186     765.0    0.000E+00    0.280E-21
        187     770.0    0.000E+00    0.270E-21
        188     775.0    0.000E+00    0.280E-21
        189     780.0    0.000E+00    0.285E-21
        190     785.0    0.000E+00    0.252E-21
        191     790.0    0.000E+00    0.220E-21
        192     795.0    0.000E+00    0.182E-21
        193     800.0    0.000E+00    0.163E-21
        194     805.0    0.000E+00    0.175E-21
        195     810.0    0.000E+00    0.190E-21
        196     815.0    0.000E+00    0.185E-21
        197     820.0    0.000E+00    0.170E-21
        198     825.0    0.000E+00    0.152E-21
        199     830.0    0.000E+00    0.142E-21
        200     835.0    0.000E+00    0.140E-21
        201     840.0    0.000E+00    0.140E-21
        202     845.0    0.000E+00    0.142E-21
        203     850.0    0.000E+00    0.145E-21
