            interval     wavelength (nm)               sigma                 phi
                   1           121.5                  0.               1.000    
                   2           116.7              0.7800E-17           1.000    
                   3           117.3              0.7970E-17           1.000    
                   4           117.9              0.8660E-17           1.000    
                   5           118.7              0.9510E-17           1.000    
                   6           119.4              0.1250E-16           1.000    
                   7           120.2              0.1840E-16           1.000    
                   8           120.8              0.2190E-16           1.000    
                   9           121.6              0.2300E-16           1.000    
                  10           122.3              0.2260E-16           1.000    
                  11           123.1              0.2060E-16           1.000    
                  12           123.8              0.1300E-16           1.000    
                  13           124.6              0.8910E-17           1.000    
                  14           125.4              0.7240E-17           1.000    
                  15           126.2              0.6090E-17           1.000    
                  16           127.0              0.5660E-17           1.000    
                  17           127.8              0.5870E-17           1.000    
                  18           128.6              0.6470E-17           1.000    
                  19           129.4              0.8140E-17           1.000    
                  20           130.3              0.1240E-16           1.000    
                  21           131.1              0.1520E-16           1.000    
                  22           132.0              0.1470E-16           1.000    
                  23           132.9              0.1510E-16           1.000    
                  24           133.8              0.1510E-16           1.000    
                  25           134.6              0.1650E-16           1.000    
                  26           135.6              0.1540E-16           1.000    
                  27           136.5              0.1350E-16           1.000    
                  28           137.4              0.1050E-16           1.000    
                  29           138.4              0.7970E-17           1.000    
                  30           139.9              0.7170E-17           1.000    
                  31           141.8              0.6280E-17           1.000    
                  32           143.9              0.5660E-17           1.000    
                  33           145.9              0.5230E-17           1.000    
                  34           148.1              0.4470E-17           1.000    
                  35           150.4              0.3690E-17           1.000    
                  36           152.6              0.2930E-17           1.000    
                  37           155.0              0.2190E-17           1.000    
                  38           157.4              0.1630E-17           1.000    
                  39           160.0              0.1200E-17           1.000    
                  40           162.6              0.9770E-18           1.000    
                  41           165.3              0.8660E-18           1.000    
                  42           168.1              0.8140E-18           1.000    
                  43           170.9              0.8170E-18           1.000    
                  44           173.1              0.8570E-18           1.000    
                  45           174.6              0.8400E-18           1.000    
                  46           176.2              0.8100E-18           1.000    
                  47           177.8              0.8000E-18           1.000    
                  48           179.4              0.7900E-18           1.000    
                  49           181.0              0.7600E-18           1.000    
                  50           182.7              0.7300E-18           1.000    
                  51           184.3              0.6900E-18           1.000    
                  52           186.1              0.6400E-18           1.000    
                  53           187.8              0.5900E-18           1.000    
                  54           189.6              0.5300E-18           1.000    
                  55           191.4              0.4800E-18           1.000    
                  56           193.2              0.4400E-18           1.000    
                  57           195.1              0.4100E-18           1.000    
                  58           197.0              0.3700E-18           1.000    
                  59           199.0              0.3300E-18           1.000    
                  60           201.0              0.3260E-18           1.000    
                  61           203.1              0.3260E-18           1.000    
                  62           205.1              0.3510E-18           1.000    
                  63           207.3              0.4110E-18           1.000    
                  64           209.4              0.4840E-18           1.000    
                  65           211.6              0.6260E-18           1.000    
                  66           213.9              0.8570E-18           1.000    
                  67           216.2              0.1170E-17           1.000    
                  68           218.6              0.1520E-17           1.000    
                  69           221.0              0.1970E-17           1.000    
                  70           223.5              0.2550E-17           1.000    
                  71           226.0              0.3240E-17           1.000    
                  72           228.6              0.4000E-17           1.000    
                  73           231.2              0.4830E-17           1.000    
                  74           233.9              0.5790E-17           1.000    
                  75           236.7              0.6860E-17           1.000    
                  76           239.5              0.7970E-17           1.000    
                  77           242.4              0.9000E-17           1.000    
                  78           245.4              0.1000E-16           1.000    
                  79           248.5              0.1080E-16           1.000    
                  80           251.6              0.1130E-16           1.000    
                  81           254.8              0.1150E-16           1.000    
                  82           258.1              0.1120E-16           1.000    
                  83           261.4              0.1060E-16           1.000    
                  84           264.9              0.9600E-17           1.000    
                  85           268.5              0.8300E-17           1.000    
                  86           272.1              0.6900E-17           1.000    
                  87           275.9              0.5400E-17           1.000    
                  88           279.7              0.4000E-17           1.000    
                  89           283.7              0.2700E-17           1.000    
                  90           287.8              0.1800E-17           1.000    
                  91           292.0              0.1100E-17           1.000    
                  92           296.3              0.6100E-18           1.000    
                  93           300.8              0.3300E-18           1.000    
                  94           305.3              0.1800E-18           1.000    
                  95           310.0              0.9200E-19           1.000    
                  96           315.0              0.4700E-19           1.000    
                  97           320.0              0.2300E-19           1.000    
                  98           325.0              0.1100E-19           1.000    
                  99           330.0              0.5400E-20           1.000    
                 100           335.0              0.2400E-20           1.000    
                 101           340.0              0.9700E-21           1.000    
                 102           345.0              0.3800E-21           1.000    
                 103           350.0              0.2700E-21           1.000    
                 104           355.0              0.1100E-21           1.000    
                 105           360.0              0.5500E-22           1.000    
                 106           365.0                  0.               1.000    
                 107           370.0                  0.               1.000    
                 108           375.0                  0.               1.000    
                 109           380.0                  0.               1.000    
                 110           385.0                  0.               1.000    
                 111           390.0                  0.               1.000    
                 112           395.0                  0.               1.000    
                 113           400.0                  0.               1.000    
                 114           405.0                  0.               1.000    
                 115           410.0              0.2900E-22           1.000    
                 116           415.0              0.3100E-22           1.000    
                 117           420.0              0.4000E-22           1.000    
                 118           425.0              0.6500E-22           1.000    
                 119           430.0              0.6800E-22           1.000    
                 120           435.0              0.8700E-22           1.000    
                 121           440.0              0.1300E-21           1.000    
                 122           445.0              0.1500E-21           1.000    
                 123           450.0              0.1700E-21           1.000    
                 124           455.0              0.2100E-21           1.000    
                 125           460.0              0.3600E-21           1.000    
                 126           465.0              0.3700E-21           1.000    
                 127           470.0              0.4100E-21           1.000    
                 128           475.0              0.4900E-21           1.000    
                 129           480.0              0.7100E-21           1.000    
                 130           485.0              0.8400E-21           1.000    
                 131           490.0              0.8300E-21           1.000    
                 132           495.0              0.9100E-21           1.000    
                 133           500.0              0.1200E-20           1.000    
                 134           505.0              0.1600E-20           1.000    
                 135           510.0              0.1600E-20           1.000    
                 136           515.0              0.1600E-20           1.000    
                 137           520.0              0.1800E-20           1.000    
                 138           525.0              0.2100E-20           1.000    
                 139           530.0              0.2600E-20           1.000    
                 140           535.0              0.2700E-20           1.000    
                 141           540.0              0.2900E-20           1.000    
                 142           545.0              0.3100E-20           1.000    
                 143           550.0              0.3200E-20           1.000    
                 144           555.0              0.3400E-20           1.000    
                 145           560.0              0.3900E-20           1.000    
                 146           565.0              0.4300E-20           1.000    
                 147           570.0              0.4700E-20           1.000    
                 148           575.0              0.4800E-20           1.000    
                 149           580.0              0.4600E-20           1.000    
                 150           585.0              0.4400E-20           1.000    
                 151           590.0              0.4400E-20           1.000    
                 152           595.0              0.4600E-20           1.000    
                 153           600.0              0.4900E-20           1.000    
                 154           605.0              0.4800E-20           1.000    
                 155           610.0              0.4500E-20           1.000    
                 156           615.0              0.4200E-20           1.000    
                 157           620.0              0.3900E-20           1.000    
                 158           625.0              0.3600E-20           1.000    
                 159           630.0              0.3400E-20           1.000    
                 160           635.0              0.3200E-20           1.000    
                 161           640.0              0.2700E-20           1.000    
                 162           645.0              0.2600E-20           1.000    
                 163           650.0              0.2400E-20           1.000    
                 164           655.0              0.2200E-20           1.000    
                 165           660.0              0.2000E-20           1.000    
                 166           665.0              0.1900E-20           1.000    
                 167           670.0              0.1700E-20           1.000    
                 168           675.0              0.1500E-20           1.000    
                 169           680.0              0.1400E-20           1.000    
                 170           685.0              0.1300E-20           1.000    
                 171           690.0              0.1100E-20           1.000    
                 172           695.0              0.1000E-20           1.000    
                 173           700.0              0.9200E-21           1.000    
                 174           705.0              0.8400E-21           1.000    
                 175           710.0              0.7700E-21           1.000    
                 176           715.0              0.6900E-21           1.000    
                 177           720.0              0.6300E-21           1.000    
                 178           725.0              0.5700E-21           1.000    
                 179           730.0              0.5300E-21           1.000    
                 180           735.0              0.4800E-21           1.000    
                 181           740.0              0.4500E-21           1.000    
                 182           745.0              0.4200E-21           1.000    
                 183           750.0              0.3800E-21           1.000    
                 184           755.0              0.3300E-21           1.000    
                 185           760.0              0.2900E-21           1.000    
                 186           765.0              0.2800E-21           1.000    
                 187           770.0              0.2700E-21           1.000    
                 188           775.0              0.2800E-21           1.000    
                 189           780.0              0.2850E-21           1.000    
                 190           785.0              0.2520E-21           1.000    
                 191           790.0              0.2200E-21           1.000    
                 192           795.0              0.1820E-21           1.000    
                 193           800.0              0.1630E-21           1.000    
                 194           805.0              0.1750E-21           1.000    
                 195           810.0              0.1900E-21           1.000    
                 196           815.0              0.1850E-21           1.000    
