235		18.0				0.67
240		33.93				0.61
245		58.55				0.34
250		85.26				0.08
255		103.1				-0.1
260		104.1				-0.12
265		89.88				0.1
270		66.97				0.54
275		43.91				1.33
280		26.06				2.42
285		14.13				3.74
290		7.295				5.11
295		3.654				6.29
300		1.893				6.90
305		1.009				6.82
310		0.575				7.10
315		0.335				6.95
320		0.194				6.94
325		0.110				8.13
330		0.069				10.41
335		0.039				13.30
340		0.023				16.98
345		0.0124				22.55
350		0.006				27.16
355		0.0026				29.30
360		0.0013				34.45
365		0.0004				39.60

wavelength/nm	SIGMA(298K) 10^20		B/1E-3 K

where ln SIGMA(T) = ln SIGMA(298K) + B[T-298]
