wave (nm)  cross 296 K  a1          a2
 282.0     1.050E-01    2.470E-03   1.720E-06
 284.0     9.350E-02    2.560E-03   2.210E-06
 286.0     8.260E-02    2.660E-03   2.680E-06
 288.0     7.240E-02    2.750E-03   3.090E-06
 290.0     6.410E-02    2.840E-03   3.410E-06
 292.0     5.500E-02    2.950E-03   3.740E-06
 294.0     4.670E-02    3.080E-03   4.270E-06
 296.0     4.090E-02    3.250E-03   5.130E-06
 298.0     3.570E-02    3.450E-03   6.230E-06
 300.0     3.130E-02    3.640E-03   7.360E-06
 302.0     2.740E-02    3.830E-03   8.380E-06
 304.0     2.390E-02    4.010E-03   9.300E-06
 306.0     2.090E-02    4.180E-03   1.020E-05
 308.0     1.830E-02    4.360E-03   1.110E-05
 310.0     1.600E-02    4.550E-03   1.200E-05
 312.0     1.400E-02    4.710E-03   1.300E-05
 314.0     1.220E-02    4.890E-03   1.420E-05
 316.0     1.070E-02    5.070E-03   1.560E-05
 318.0     9.470E-03    5.240E-03   1.690E-05
 320.0     8.310E-03    5.400E-03   1.840E-05
 322.0     7.310E-03    5.550E-03   2.000E-05
 324.0     6.470E-03    5.680E-03   2.180E-05
 326.0     5.780E-03    5.800E-03   2.360E-05
 328.0     5.180E-03    5.880E-03   2.540E-05
 330.0     4.660E-03    5.920E-03   2.700E-05
 332.0     4.200E-03    5.920E-03   2.840E-05
 334.0     3.820E-03    5.880E-03   2.960E-05
 336.0     3.510E-03    5.800E-03   3.050E-05
 338.0     3.260E-03    5.680E-03   3.100E-05
 340.0     3.020E-03    5.510E-03   3.110E-05
 342.0     2.820E-03    5.320E-03   3.080E-05
 344.0     2.640E-03    5.070E-03   2.960E-05
 346.0     2.520E-03    4.760E-03   2.740E-05
 348.0     2.430E-03    4.390E-03   2.420E-05
 350.0     2.290E-03    4.020E-03   2.070E-05
 352.0     2.180E-03    3.680E-03   1.760E-05
 354.0     2.120E-03    3.400E-03   1.500E-05
 356.0     2.050E-03    3.150E-03   1.270E-05
 358.0     2.030E-03    2.920E-03   1.060E-05
 360.0     2.000E-03    2.700E-03   8.590E-06
 362.0     1.900E-03    2.470E-03   6.380E-06
 364.0     1.840E-03    2.220E-03   3.660E-06
 366.0     1.750E-03    1.930E-03   2.420E-07
 368.0     1.660E-03    1.620E-03  -3.620E-06
 370.0     1.590E-03    1.330E-03  -7.400E-06
 372.0     1.510E-03    1.070E-03  -1.070E-05
 374.0     1.440E-03    8.600E-04  -1.330E-05
 376.0     1.380E-03    6.730E-04  -1.540E-05
 378.0     1.290E-03    5.010E-04  -1.740E-05
 380.0     1.210E-03    3.530E-04  -1.910E-05
 382.0     1.150E-03    2.540E-04  -2.050E-05
 384.0     1.080E-03    2.250E-04  -2.110E-05
 386.0     1.030E-03    2.620E-04  -2.110E-05
 388.0     9.700E-04    3.330E-04  -2.080E-05
 390.0     9.090E-04    4.100E-04  -2.050E-05
 392.0     8.490E-04    5.040E-04  -2.020E-05
 394.0     7.800E-04    6.620E-04  -1.940E-05
 396.0     7.400E-04    8.950E-04  -1.790E-05
 398.0     7.100E-04    1.140E-03  -1.610E-05
 400.0     6.380E-04    1.380E-03  -1.420E-05
 402.0     5.990E-04    1.630E-03  -1.200E-05
 404.0     5.680E-04    1.960E-03  -8.970E-06
 406.0     5.130E-04    2.360E-03  -5.150E-06
 408.0     4.810E-04    2.840E-03  -6.640E-07
 410.0     4.440E-04    3.380E-03   4.470E-06
 412.0     4.130E-04    3.960E-03   1.000E-05
 414.0     3.730E-04    4.560E-03   1.600E-05
 416.0     3.560E-04    5.220E-03   2.280E-05
 418.0     3.170E-04    5.960E-03   3.070E-05
 420.0     3.160E-04    6.700E-03   3.870E-05
 422.0     2.750E-04    7.300E-03   4.580E-05
 424.0     2.420E-04    7.820E-03   5.220E-05
 426.0     2.220E-04    8.410E-03   5.950E-05
 428.0     2.070E-04    9.110E-03   6.790E-05
 430.0     1.890E-04    9.720E-03   7.250E-05
 432.0     1.880E-04    9.960E-03   7.810E-05

Reference: J.B. Burkholder et al, The tempertaure dependence of the ClONO2 UV
absorption spectrum, GRL, 21, No.7, 585-588, 1994.
