 int. wave (nm)     cross-section       phi
  160     635.0        7.3101E-22    0.7100
  161     640.0        7.1519E-22    0.7100
  162     645.0        6.9937E-22    0.7100
  163     650.0        6.8354E-22    0.7100
  164     655.0        6.6772E-22    0.7100
  165     660.0        6.5190E-22    0.7100
  166     665.0        6.3608E-22    0.7100
  167     670.0        6.2025E-22    0.7100
  168     675.0        6.0443E-22    0.7100
  169     680.0        5.8861E-22    0.7100
  170     685.0        5.7278E-22    0.7100
  171     690.0        5.5696E-22    0.7100
  172     695.0        5.4114E-22    0.7100
  173     700.0        5.2532E-22    0.7100
  174     705.0        5.0949E-22    0.7100
  175     710.0        4.9367E-22    0.7100
  176     715.0        4.7785E-22    0.7100
  177     720.0        4.6203E-22    0.7100
  178     725.0        4.4620E-22    0.7100
  179     730.0        4.3038E-22    0.7100
  180     735.0        4.1456E-22    0.7100
  181     740.0        3.9873E-22    0.7100
  182     745.0        3.8291E-22    0.7100
  183     750.0        3.6709E-22    0.7100
  184     755.0        3.5127E-22    0.7100
  185     760.0        3.3544E-22    0.7100
  186     765.0        3.1962E-22    0.7100
  187     770.0        3.0380E-22    0.7100
  188     775.0        2.8797E-22    0.7100
  189     780.0        2.7215E-22    0.7100
  190     785.0        2.5633E-22    0.7100
  191     790.0        2.4051E-22    0.7100
  192     795.0        2.2468E-22    0.7100
  193     800.0        2.0886E-22    0.7100
  194     805.0        1.9304E-22    0.7100
  195     810.0        1.7722E-22    0.7100
  196     815.0        1.6139E-22    0.7100
  197     820.0        1.4557E-22    0.7100
  198     825.0        1.2975E-22    0.7100
  199     830.0        1.1392E-22    0.7100
  200     835.0        9.8101E-23    0.7100
  201     840.0        8.2278E-23    0.7100
  202     845.0        6.6456E-23    0.7100
  203     850.0        5.0633E-23    0.7100
