λ,Φ,ΔΦ,species
250.0,0.44,NaN,H2
251.0,0.44,NaN,H2
252.0,0.44,NaN,H2
253.0,0.44,NaN,H2
254.0,0.44,NaN,H2
255.0,0.44,NaN,H2
256.0,0.44,NaN,H2
257.0,0.44,NaN,H2
258.0,0.44,NaN,H2
259.0,0.44,NaN,H2
260.0,0.44,NaN,H2
261.0,0.44,NaN,H2
262.0,0.44,NaN,H2
263.0,0.44,NaN,H2
264.0,0.44,NaN,H2
265.0,0.44,NaN,H2
266.0,0.43,NaN,H2
267.0,0.43,NaN,H2
268.0,0.43,NaN,H2
269.0,0.43,NaN,H2
270.0,0.42,NaN,H2
271.0,0.42,NaN,H2
272.0,0.41,NaN,H2
273.0,0.41,NaN,H2
274.0,0.4,NaN,H2
275.0,0.39,NaN,H2
276.0,0.38,NaN,H2
277.0,0.37,NaN,H2
278.0,0.36,NaN,H2
279.0,0.35,NaN,H2
280.0,0.34,NaN,H2
281.0,0.33,NaN,H2
282.0,0.32,NaN,H2
283.0,0.31,NaN,H2
284.0,0.3,NaN,H2
285.0,0.29,NaN,H2
286.0,0.29,NaN,H2
287.0,0.28,NaN,H2
288.0,0.28,NaN,H2
289.0,0.28,NaN,H2
290.0,0.27,NaN,H2
291.0,0.27,NaN,H2
292.0,0.27,NaN,H2
293.0,0.27,NaN,H2
294.0,0.27,NaN,H2
295.0,0.27,NaN,H2
296.0,0.27,NaN,H2
297.0,0.26,NaN,H2
298.0,0.26,NaN,H2
299.0,0.26,NaN,H2
300.0,0.27,NaN,H2
301.0,0.27,NaN,H2
302.0,0.27,NaN,H2
303.0,0.27,NaN,H2
304.0,0.27,NaN,H2
305.0,0.27,NaN,H2
306.0,0.27,NaN,H2
307.0,0.28,NaN,H2
308.0,0.28,NaN,H2
309.0,0.28,NaN,H2
310.0,0.29,NaN,H2
311.0,0.29,NaN,H2
312.0,0.3,NaN,H2
313.0,0.31,NaN,H2
314.0,0.32,NaN,H2
315.0,0.33,NaN,H2
316.0,0.34,NaN,H2
317.0,0.35,NaN,H2
318.0,0.37,NaN,H2
319.0,0.39,NaN,H2
320.0,0.41,NaN,H2
321.0,0.43,NaN,H2
322.0,0.45,NaN,H2
323.0,0.48,NaN,H2
324.0,0.5,NaN,H2
325.0,0.53,NaN,H2
326.0,0.55,NaN,H2
327.0,0.58,NaN,H2
328.0,0.61,NaN,H2
329.0,0.63,NaN,H2
330.0,0.65,NaN,H2
331.0,0.67,NaN,H2
332.0,0.68,NaN,H2
333.0,0.7,NaN,H2
334.0,0.7,NaN,H2
335.0,0.71,NaN,H2
336.0,0.71,NaN,H2
337.0,0.7,NaN,H2
338.0,0.7,NaN,H2
339.0,0.68,NaN,H2
340.0,0.67,NaN,H2
341.0,0.65,NaN,H2
342.0,0.62,NaN,H2
343.0,0.59,NaN,H2
344.0,0.57,NaN,H2
345.0,0.53,NaN,H2
346.0,0.5,NaN,H2
347.0,0.47,NaN,H2
348.0,0.43,NaN,H2
349.0,0.4,NaN,H2
350.0,0.37,NaN,H2
351.0,0.33,NaN,H2
352.0,0.3,NaN,H2
353.0,0.27,NaN,H2
354.0,0.24,NaN,H2
355.0,0.22,NaN,H2
356.0,0.2,NaN,H2
357.0,0.17,NaN,H2
358.0,0.15,NaN,H2
359.0,0.14,NaN,H2
360.0,0.12,NaN,H2
250.0,0.44,NaN,CO
251.0,0.44,NaN,CO
252.0,0.44,NaN,CO
253.0,0.44,NaN,CO
254.0,0.44,NaN,CO
255.0,0.44,NaN,CO
256.0,0.44,NaN,CO
257.0,0.44,NaN,CO
258.0,0.44,NaN,CO
259.0,0.44,NaN,CO
260.0,0.44,NaN,CO
261.0,0.44,NaN,CO
262.0,0.44,NaN,CO
263.0,0.44,NaN,CO
264.0,0.44,NaN,CO
265.0,0.44,NaN,CO
266.0,0.43,NaN,CO
267.0,0.43,NaN,CO
268.0,0.43,NaN,CO
269.0,0.43,NaN,CO
270.0,0.42,NaN,CO
271.0,0.42,NaN,CO
272.0,0.41,NaN,CO
273.0,0.41,NaN,CO
274.0,0.4,NaN,CO
275.0,0.39,NaN,CO
276.0,0.38,NaN,CO
277.0,0.37,NaN,CO
278.0,0.36,NaN,CO
279.0,0.35,NaN,CO
280.0,0.34,NaN,CO
281.0,0.33,NaN,CO
282.0,0.32,NaN,CO
283.0,0.31,NaN,CO
284.0,0.3,NaN,CO
285.0,0.29,NaN,CO
286.0,0.29,NaN,CO
287.0,0.28,NaN,CO
288.0,0.28,NaN,CO
289.0,0.28,NaN,CO
290.0,0.27,NaN,CO
291.0,0.27,NaN,CO
292.0,0.27,NaN,CO
293.0,0.27,NaN,CO
294.0,0.27,NaN,CO
295.0,0.27,NaN,CO
