λ,Φ,ΔΦ,species
585.0,0.996,NaN,total
586.0,0.996,NaN,total
587.0,0.997,NaN,total
588.0,0.997,NaN,total
589.0,0.997,NaN,total
590.0,0.996,NaN,total
591.0,0.996,NaN,total
592.0,0.997,NaN,total
593.0,0.997,NaN,total
594.0,0.997,NaN,total
595.0,0.97,NaN,total
596.0,0.93,NaN,total
597.0,0.836,NaN,total
598.0,0.788,NaN,total
599.0,0.741,NaN,total
600.0,0.653,NaN,total
601.0,0.613,NaN,total
602.0,0.576,NaN,total
603.0,0.509,NaN,total
604.0,0.48,NaN,total
605.0,0.429,NaN,total
606.0,0.406,NaN,total
607.0,0.386,NaN,total
608.0,0.345,NaN,total
609.0,0.321,NaN,total
610.0,0.298,NaN,total
611.0,0.254,NaN,total
612.0,0.234,NaN,total
613.0,0.215,NaN,total
614.0,0.182,NaN,total
615.0,0.168,NaN,total
616.0,0.155,NaN,total
617.0,0.132,NaN,total
618.0,0.122,NaN,total
619.0,0.113,NaN,total
620.0,0.102,NaN,total
621.0,0.091,NaN,total
622.0,0.084,NaN,total
623.0,0.077,NaN,total
624.0,0.066,NaN,total
625.0,0.058,NaN,total
626.0,0.053,NaN,total
627.0,0.046,NaN,total
628.0,0.039,NaN,total
629.0,0.035,NaN,total
630.0,0.031,NaN,total
631.0,0.027,NaN,total
632.0,0.022,NaN,total
633.0,0.02,NaN,total
634.0,0.018,NaN,total
635.0,0.015,NaN,total
636.0,0.012,NaN,total
637.0,0.011,NaN,total
638.0,0.009,NaN,total
639.0,0.008,NaN,total
640.0,0.007,NaN,total
