λ,Φ,ΔΦ,species
585.0,0.983,NaN,total
586.0,0.982,NaN,total
587.0,0.982,NaN,total
588.0,0.982,NaN,total
589.0,0.982,NaN,total
590.0,0.983,NaN,total
591.0,0.983,NaN,total
592.0,0.983,NaN,total
593.0,0.983,NaN,total
594.0,0.982,NaN,total
595.0,0.967,NaN,total
596.0,0.944,NaN,total
597.0,0.885,NaN,total
598.0,0.854,NaN,total
599.0,0.823,NaN,total
600.0,0.763,NaN,total
601.0,0.734,NaN,total
602.0,0.706,NaN,total
603.0,0.654,NaN,total
604.0,0.631,NaN,total
605.0,0.587,NaN,total
606.0,0.567,NaN,total
607.0,0.548,NaN,total
608.0,0.509,NaN,total
609.0,0.486,NaN,total
610.0,0.462,NaN,total
611.0,0.415,NaN,total
612.0,0.393,NaN,total
613.0,0.371,NaN,total
614.0,0.332,NaN,total
615.0,0.313,NaN,total
616.0,0.297,NaN,total
617.0,0.265,NaN,total
618.0,0.251,NaN,total
619.0,0.238,NaN,total
620.0,0.221,NaN,total
621.0,0.204,NaN,total
622.0,0.192,NaN,total
623.0,0.181,NaN,total
624.0,0.161,NaN,total
625.0,0.147,NaN,total
626.0,0.137,NaN,total
627.0,0.124,NaN,total
628.0,0.108,NaN,total
629.0,0.099,NaN,total
630.0,0.091,NaN,total
631.0,0.081,NaN,total
632.0,0.07,NaN,total
633.0,0.064,NaN,total
634.0,0.059,NaN,total
635.0,0.052,NaN,total
636.0,0.044,NaN,total
637.0,0.04,NaN,total
638.0,0.036,NaN,total
639.0,0.032,NaN,total
640.0,0.027,NaN,total
