λ,Φ,ΔΦ,species
472.0,0.855,NaN,total
477.0,0.867,NaN,total
482.0,0.921,NaN,total
487.0,0.869,NaN,total
492.0,0.935,NaN,total
497.0,0.885,NaN,total
502.0,0.898,NaN,total
507.0,0.905,NaN,total
512.0,0.852,NaN,total
517.0,0.906,NaN,total
522.0,0.845,NaN,total
527.0,0.938,NaN,total
532.0,0.958,NaN,total
537.0,0.877,NaN,total
542.0,0.91,NaN,total
547.0,0.821,NaN,total
552.0,1.004,NaN,total
557.0,1.054,NaN,total
562.0,1.103,NaN,total
567.0,1.086,NaN,total
572.0,1.133,NaN,total
577.0,1.119,NaN,total
582.0,1.177,NaN,total
587.0,1.3,NaN,total
592.0,1.31,NaN,total
597.0,1.06,NaN,total
602.0,0.975,NaN,total
607.0,1.023,NaN,total
612.0,0.606,NaN,total
617.0,0.456,NaN,total
622.0,0.214,NaN,total
627.0,0.125,NaN,total
632.0,0.057,NaN,total
