λ,Φ,ΔΦ,species
580.0,1.0,NaN,total
581.0,1.0,NaN,total
582.0,1.0,NaN,total
583.0,1.0,NaN,total
584.0,1.0,NaN,total
585.0,1.0,NaN,total
586.0,1.0,NaN,total
587.0,1.0,NaN,total
588.0,1.0,NaN,total
589.0,1.0,NaN,total
590.0,1.0,NaN,total
591.0,1.0,NaN,total
592.0,1.0,NaN,total
593.0,1.0,NaN,total
594.0,1.0,NaN,total
595.0,1.0,NaN,total
596.0,0.978,NaN,total
597.0,0.955,NaN,total
598.0,0.934,NaN,total
599.0,0.911,NaN,total
600.0,0.889,NaN,total
601.0,0.866,NaN,total
602.0,0.845,NaN,total
603.0,0.822,NaN,total
604.0,0.8,NaN,total
605.0,0.778,NaN,total
606.0,0.755,NaN,total
607.0,0.734,NaN,total
608.0,0.711,NaN,total
609.0,0.689,NaN,total
610.0,0.666,NaN,total
611.0,0.645,NaN,total
612.0,0.622,NaN,total
613.0,0.6,NaN,total
614.0,0.578,NaN,total
615.0,0.555,NaN,total
616.0,0.534,NaN,total
617.0,0.511,NaN,total
618.0,0.489,NaN,total
619.0,0.466,NaN,total
620.0,0.445,NaN,total
621.0,0.422,NaN,total
622.0,0.4,NaN,total
623.0,0.378,NaN,total
624.0,0.355,NaN,total
625.0,0.334,NaN,total
626.0,0.311,NaN,total
627.0,0.289,NaN,total
628.0,0.266,NaN,total
629.0,0.245,NaN,total
630.0,0.222,NaN,total
631.0,0.2,NaN,total
632.0,0.178,NaN,total
633.0,0.155,NaN,total
634.0,0.134,NaN,total
635.0,0.111,NaN,total
636.0,0.089,NaN,total
637.0,0.066,NaN,total
638.0,0.045,NaN,total
639.0,0.022,NaN,total
