λ,Φ,ΔΦ,species
586.0,1.0,NaN,total
587.0,1.0,NaN,total
588.0,1.0,NaN,total
589.0,1.0,NaN,total
590.0,1.0,NaN,total
591.0,1.0,NaN,total
592.0,1.0,NaN,total
593.0,0.988,NaN,total
594.0,0.974,NaN,total
595.0,0.955,NaN,total
596.0,0.925,NaN,total
597.0,0.895,NaN,total
598.0,0.867,NaN,total
599.0,0.837,NaN,total
600.0,0.809,NaN,total
601.0,0.782,NaN,total
602.0,0.754,NaN,total
603.0,0.726,NaN,total
604.0,0.7,NaN,total
605.0,0.673,NaN,total
606.0,0.647,NaN,total
607.0,0.62,NaN,total
608.0,0.595,NaN,total
609.0,0.569,NaN,total
610.0,0.545,NaN,total
611.0,0.52,NaN,total
612.0,0.496,NaN,total
613.0,0.471,NaN,total
614.0,0.447,NaN,total
615.0,0.423,NaN,total
616.0,0.399,NaN,total
617.0,0.376,NaN,total
618.0,0.353,NaN,total
619.0,0.329,NaN,total
620.0,0.29,NaN,total
621.0,0.217,NaN,total
622.0,0.165,NaN,total
623.0,0.141,NaN,total
624.0,0.182,NaN,total
625.0,0.213,NaN,total
626.0,0.171,NaN,total
627.0,0.149,NaN,total
628.0,0.134,NaN,total
629.0,0.127,NaN,total
630.0,0.138,NaN,total
631.0,0.149,NaN,total
632.0,0.121,NaN,total
633.0,0.092,NaN,total
634.0,0.066,NaN,total
635.0,0.045,NaN,total
636.0,0.02,NaN,total
637.0,0.01,NaN,total
