Rxn #,Reactant,,,Product,,,K1,X1,Source 1,Note 1,K2,X2,Source 2,Note 2,K3,X3,Source 3,Note 3,K4,X4,Source 4,Note 4,K5,X5,Source 5,Note 5
46,O2+(H2O)2,H2O,,H3O+.H2O,OH,O2,6E-11 - K45,,Good et al. 1970b,,,,,,,,,,,,,,,,,
47,N2+,H2O,,N2H+,OH,,1.9E-10,,,K47 = K7 - K8,,,,,,,,,,,,,,,,
48,Ar+,H2O,,ArH+,OH,,7E-10,,,K48 = K3 - K4,,,,,,,,,,,,,,,,
49,ArH+,H2O,,H3O+,Ar,,1E-09,,Howard et al. 1970,"Fast reaction, presumed value",,,,,,,,,,,,,,,,
50,N3+,H2O,,H2O+,N,N2,2.6E-09,,,"As rate constants of N3+ ion have not been measured at 300K, we assume that they are of the same order as those of N+ at thermal kinetic energy",,,,,,,,,,,,,,,,
51,N3+,O2,,O2+,N,N2,5E-10,,,,,,,,,,,,,,,,,,,
52,N3+,O2,,NO+,N2,O,5E-10,,,,,,,,,,,,,,,,,,,
53,N+,O2,,O2+,N,,5E-10,,Stebbings et al. 1966a,,,,,,,,,,,,,,,,,
54,N+,O2,,NO+,O,,5E-10,,Stebbings et al. 1966b,,,,,,,,,,,,,,,,,
55,N+,NO,,NO+,N,,8E-10,,Goldan et al. 1966,,,,,,,,,,,,,,,,,
56,N+,N2,X,N3+,X,,1.8E-29,N2,Mosley et al. 1969,,8.6E-30,He,Bohme et al. 1969,,,,,,,,,,,,,
57,N+,H2O,,H2O+,N,,2.6E-09,,Howard et al. 1970,,,,,,,,,,,,,,,,,
58,O+,N2,,NO+,N,,3E-12,,Stebbings et al. 1966,,,,,,,,,,,,,,,,,
59,O+,O2,,O2+,O,,2E-11,,Stebbings et al. 1966,,,,,,,,,,,,,,,,,
60,O+,NO,,NO+,O,,1.3E-12,,Dunkin et al. 1971b,,,,,,,,,,,,,,,,,
61,O+,H2O,,H2O+,O,,2.33E-09,,Howard et al. 1970,,,,,,,,,,,,,,,,,
62,OH+,O2,,O2+,OH,,2E-10,,Fehsenfeld et al. 1967,,,,,,,,,,,,,,,,,
63,OH+,H2O,,H3O+,O,,2E-09,,Ryan et al. 1970,,,,,,,,,,,,,,,,,
64,OH+,H2O,,H2O+,OH,,K64 << K63,,,,,,,,,,,,,,,,,,,
